0,1,2,3,4,5
2017,19,2,32,708,0.04519774
2017,20,1,11,64,0.171875
2017,20,2,19,210,0.09047619
2018,19,1,27,229,0.1179039
2018,19,2,38,690,0.05507246
2018,20,1,12,70,0.1714286
2018,20,2,29,242,0.1198347
2019,19,1,25,259,0.0965251
2019,19,2,40,721,0.0554785
2019,20,1,14,83,0.1686747
2019,20,2,22,203,0.1083744
"B1_12_M Schlaganfall n.n.bez. (ICD10 I64, Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,AltEGrp,Sex,DeathCH,CasesCH,pCH
2008,5,2,0,3,0
2008,6,1,0,1,0
2008,7,1,0,3,0
2008,7,2,0,3,0
2008,8,1,0,5,0
2008,8,2,0,8,0
2008,9,1,0,14,0
2008,9,2,0,6,0
2008,10,1,0,15,0
2008,10,2,0,9,0
2008,11,1,0,35,0
2008,11,2,0,11,0
2008,12,1,0,46,0
2008,12,2,0,15,0
2008,13,1,0,75,0
2008,13,2,0,32,0
2008,14,1,4,98,0.04081633
2008,14,2,3,43,0.06976744
2008,15,1,2,97,0.02061856
2008,15,2,5,87,0.05747126
2008,16,1,14,145,0.09655172
2008,16,2,12,131,0.09160305
2008,17,1,14,170,0.08235294
2008,17,2,33,194,0.1701031
2008,18,1,28,143,0.1958042
2008,18,2,36,199,0.1809045
2008,19,1,15,55,0.2727273
2008,19,2,33,111,0.2972973
2008,20,1,5,15,0.3333333
2008,20,2,10,25,0.4
2009,5,1,0,1,0
2009,6,1,0,1,0
2009,6,2,0,2,0
2009,7,1,0,1,0
2009,7,2,0,3,0
2009,8,1,0,4,0
2009,8,2,0,2,0
2009,9,1,0,10,0
2009,9,2,0,3,0
2009,10,1,0,25,0
2009,10,2,0,7,0
2009,11,1,0,25,0
2009,11,2,0,10,0
2009,12,1,2,55,0.03636364
2009,12,2,1,16,0.0625
2009,13,1,3,65,0.04615385
2009,13,2,1,36,0.02777778
2009,14,1,0,84,0
2009,14,2,4,51,0.07843137
2009,15,1,7,106,0.06603774
2009,15,2,4,74,0.05405405
2009,16,1,10,138,0.07246377
2009,16,2,7,124,0.05645161
2009,17,1,16,135,0.1185185
2009,17,2,22,196,0.1122449
2009,18,1,25,102,0.245098
2009,18,2,41,195,0.2102564
2009,19,1,13,46,0.2826087
2009,19,2,21,83,0.253012
2009,20,1,2,8,0.25
2009,20,2,13,26,0.5
2010,5,1,0,1,0
2010,6,2,0,1,0
2010,7,1,0,1,0
2010,7,2,0,1,0
2010,8,1,0,5,0
2010,8,2,0,5,0
2010,9,1,0,12,0
2010,9,2,0,7,0
2010,10,1,1,13,0.07692308
2010,10,2,0,14,0
2010,11,1,0,33,0
2010,11,2,0,15,0
2010,12,1,1,49,0.02040816
2010,12,2,1,17,0.05882353
2010,13,1,3,51,0.05882353
2010,13,2,0,22,0
2010,14,1,3,79,0.03797468
2010,14,2,3,37,0.08108108
2010,15,1,3,71,0.04225352
2010,15,2,3,62,0.0483871
2010,16,1,13,141,0.09219858
2010,16,2,2,119,0.01680672
2010,17,1,19,155,0.1225806
2010,17,2,17,198,0.08585859
2010,18,1,25,135,0.1851852
2010,18,2,36,179,0.2011173
2010,19,1,13,40,0.325
2010,19,2,33,93,0.3548387
2010,20,1,4,8,0.5
2010,20,2,12,34,0.3529412
2011,5,1,0,1,0
2011,5,2,0,2,0
2011,6,2,0,1,0
2011,7,1,0,2,0
2011,7,2,0,3,0
2011,8,1,0,4,0
2011,8,2,0,1,0
2011,9,1,0,11,0
2011,9,2,0,6,0
2011,10,1,0,13,0
2011,10,2,0,7,0
2011,11,1,0,24,0
2011,11,2,0,6,0
2011,12,1,0,38,0
2011,12,2,0,21,0
2011,13,1,1,55,0.01818182
2011,13,2,2,34,0.05882353
2011,14,1,2,65,0.03076923
2011,14,2,2,33,0.06060606
2011,15,1,8,84,0.0952381
2011,15,2,6,54,0.1111111
2011,16,1,9,130,0.06923077
2011,16,2,9,98,0.09183673
2011,17,1,11,137,0.08029197
2011,17,2,5,146,0.03424658
2011,18,1,20,106,0.1886792
2011,18,2,23,150,0.1533333
2011,19,1,8,52,0.1538462
2011,19,2,13,81,0.1604938
2011,20,1,2,10,0.2
2011,20,2,5,15,0.3333333
2012,5,1,0,1,0
2012,5,2,0,3,0
2012,6,1,0,3,0
2012,6,2,0,1,0
2012,7,1,0,3,0
2012,7,2,0,4,0
2012,8,1,0,2,0
2012,8,2,0,4,0
2012,9,1,0,6,0
2012,9,2,0,9,0
2012,10,1,0,15,0
2012,10,2,0,11,0
2012,11,1,0,13,0
2012,11,2,1,13,0.07692308
2012,12,1,0,32,0
2012,12,2,0,15,0
2012,13,1,2,45,0.04444444
2012,13,2,2,33,0.06060606
2012,14,1,5,79,0.06329114
2012,14,2,2,39,0.05128205
2012,15,1,3,72,0.04166667
2012,15,2,1,69,0.01449275
2012,16,1,12,85,0.1411765
2012,16,2,8,77,0.1038961
2012,17,1,10,91,0.1098901
2012,17,2,19,127,0.1496063
2012,18,1,10,69,0.1449275
2012,18,2,18,115,0.1565217
2012,19,1,15,44,0.3409091
2012,19,2,21,78,0.2692308
2012,20,1,2,10,0.2
2012,20,2,4,16,0.25
2013,5,2,0,2,0
2013,6,1,0,1,0
2013,7,1,0,1,0
2013,7,2,0,6,0
2013,8,1,0,3,0
2013,8,2,0,3,0
2013,9,1,0,15,0
2013,9,2,0,8,0
2013,10,1,0,13,0
2013,10,2,0,7,0
2013,11,1,0,21,0
2013,11,2,0,9,0
2013,12,1,0,28,0
2013,12,2,1,11,0.09090909
2013,13,1,3,45,0.06666667
2013,13,2,1,14,0.07142857
2013,14,1,2,44,0.04545455
2013,14,2,2,38,0.05263158
2013,15,1,1,64,0.015625
2013,15,2,4,68,0.05882353
2013,16,1,7,93,0.07526882
2013,16,2,4,85,0.04705882
2013,17,1,10,107,0.09345794
2013,17,2,14,113,0.1238938
2013,18,1,11,80,0.1375
2013,18,2,22,120,0.1833333
2013,19,1,12,40,0.3
2013,19,2,19,73,0.260274
2013,20,1,2,9,0.2222222
2013,20,2,10,27,0.3703704
2014,5,2,0,1,0
2014,6,2,0,3,0
2014,8,1,0,6,0
2014,8,2,0,3,0
2014,9,1,0,9,0
2014,9,2,0,2,0
2014,10,1,0,13,0
2014,10,2,0,11,0
2014,11,1,0,32,0
2014,11,2,0,11,0
2014,12,1,0,25,0
2014,12,2,0,16,0
2014,13,1,1,41,0.02439024
2014,13,2,3,20,0.15
2014,14,1,1,43,0.02325581
2014,14,2,1,22,0.04545455
2014,15,1,2,56,0.03571429
2014,15,2,2,43,0.04651163
2014,16,1,7,68,0.1029412
2014,16,2,5,55,0.09090909
2014,17,1,6,70,0.08571429
2014,17,2,7,89,0.07865169
2014,18,1,11,64,0.171875
2014,18,2,22,113,0.1946903
2014,19,1,6,26,0.2307692
2014,19,2,13,54,0.2407407
2014,20,1,0,2,0
2014,20,2,5,12,0.4166667
2015,5,1,0,3,0
2015,5,2,0,3,0
2015,6,1,0,1,0
2015,6,2,0,1,0
2015,7,1,0,5,0
2015,7,2,0,2,0
2015,8,1,0,6,0
2015,8,2,0,10,0
2015,9,1,0,6,0
2015,9,2,0,6,0
2015,10,1,0,11,0
2015,10,2,0,8,0
2015,11,1,0,14,0
2015,11,2,0,11,0
2015,12,1,0,24,0
2015,12,2,0,17,0
2015,13,1,1,35,0.02857143
2015,13,2,0,27,0
2015,14,1,1,54,0.01851852
2015,14,2,0,31,0
2015,15,1,1,63,0.01587302
2015,15,2,0,44,0
2015,16,1,2,56,0.03571429
2015,16,2,2,56,0.03571429
2015,17,1,6,66,0.09090909
2015,17,2,14,69,0.2028986
2015,18,1,9,57,0.1578947
2015,18,2,9,80,0.1125
2015,19,1,6,26,0.2307692
2015,19,2,14,50,0.28
2015,20,1,2,3,0.6666667
2015,20,2,0,13,0
2016,5,1,0,1,0
2016,5,2,0,4,0
2016,6,1,0,1,0
2016,6,2,0,3,0
2016,7,1,0,7,0
2016,7,2,0,6,0
2016,8,1,0,3,0
2016,8,2,0,3,0
2016,9,1,0,12,0
2016,9,2,0,3,0
2016,10,1,0,14,0
2016,10,2,0,9,0
2016,11,1,0,22,0
2016,11,2,1,9,0.1111111
2016,12,1,0,22,0
2016,12,2,0,11,0
2016,13,1,0,29,0
2016,13,2,0,20,0
2016,14,1,0,38,0
2016,14,2,0,16,0
2016,15,1,1,53,0.01886792
2016,15,2,1,30,0.03333333
2016,16,1,1,48,0.02083333
2016,16,2,2,38,0.05263158
2016,17,1,6,62,0.09677419
2016,17,2,5,71,0.07042254
2016,18,1,3,33,0.09090909
2016,18,2,5,71,0.07042254
2016,19,1,2,21,0.0952381
2016,19,2,9,42,0.2142857
2016,20,1,0,3,0
2016,20,2,1,11,0.09090909
2017,5,1,0,3,0
2017,5,2,0,3,0
2017,6,1,0,3,0
2017,6,2,0,2,0
2017,7,1,0,5,0
2017,8,1,0,7,0
2017,8,2,0,3,0
2017,9,1,0,4,0
2017,9,2,0,10,0
2017,10,1,0,12,0
2017,10,2,0,12,0
2017,11,1,0,13,0
2017,11,2,0,12,0
2017,12,1,0,28,0
2017,12,2,0,19,0
2017,13,1,0,33,0
2017,13,2,0,18,0
2017,14,1,1,37,0.02702703
2017,14,2,1,22,0.04545455
2017,15,1,2,56,0.03571429
2017,15,2,1,47,0.0212766
2017,16,1,1,38,0.02631579
2017,16,2,1,44,0.02272727
2017,17,1,5,50,0.1
2017,17,2,2,67,0.02985075
2017,18,1,5,32,0.15625
2017,18,2,9,49,0.1836735
2017,19,1,7,25,0.28
2017,19,2,12,35,0.3428571
2017,20,1,3,9,0.3333333
2017,20,2,3,11,0.2727273
2018,5,1,0,1,0
2018,5,2,0,3,0
2018,6,1,0,4,0
2018,6,2,0,1,0
2018,7,1,0,5,0
2018,7,2,0,4,0
2018,8,1,0,1,0
2018,8,2,0,6,0
2018,9,1,0,5,0
2018,9,2,0,15,0
2018,10,1,0,18,0
2018,10,2,0,14,0
2018,11,1,0,22,0
2018,11,2,0,11,0
2018,12,1,0,40,0
2018,12,2,0,17,0
2018,13,1,0,43,0
2018,13,2,0,24,0
2018,14,1,1,45,0.02222222
2018,14,2,0,23,0
2018,15,1,3,53,0.05660377
2018,15,2,0,43,0
2018,16,1,3,55,0.05454545
2018,16,2,1,52,0.01923077
2018,17,1,4,34,0.1176471
2018,17,2,5,51,0.09803922
2018,18,1,5,37,0.1351351
2018,18,2,5,75,0.06666667
2018,19,1,4,20,0.2
2018,19,2,12,42,0.2857143
2018,20,1,2,4,0.5
2018,20,2,1,10,0.1
2019,5,1,0,1,0
2019,5,2,0,1,0
2019,6,1,0,3,0
2019,6,2,0,2,0
2019,7,1,0,3,0
2019,7,2,0,2,0
2019,8,1,0,2,0
2019,8,2,0,9,0
2019,9,1,0,10,0
2019,9,2,0,11,0
2019,10,1,0,10,0
2019,10,2,0,14,0
2019,11,1,0,26,0
2019,11,2,0,19,0
2019,12,1,0,36,0
2019,12,2,0,17,0
2019,13,1,0,53,0
2019,13,2,0,24,0
2019,14,1,0,40,0
2019,14,2,0,26,0
2019,15,1,0,38,0
2019,15,2,0,42,0
2019,16,1,1,65,0.01538462
2019,16,2,0,51,0
2019,17,1,1,44,0.02272727
2019,17,2,5,62,0.08064516
2019,18,1,3,33,0.09090909
2019,18,2,9,63,0.1428571
2019,19,1,4,22,0.1818182
2019,19,2,10,38,0.2631579
2019,20,1,1,2,0.5
2019,20,2,5,12,0.4166667
"I1_20_M KnieEndoprothesenWechsel wegen Frakturen oder Infektionen, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2012,0,1,0,,
2013,0,1,0,,
2014,0,2,0,,
2015,9,274,3.284672,,
2016,7,339,2.064897,,
2017,4,340,1.176471,,
2018,7,394,1.77665,,
2019,4,406,0.9852217,,
"D1_09_M HD Pneumonie, Alter 20-44, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,AltEGrp,Sex,DeathCH,CasesCH,pCH
2008,5,1,0,60,0
2008,5,2,0,47,0
2008,6,1,0,69,0
2008,6,2,1,74,0.01351351
2008,7,1,0,104,0
2008,7,2,3,100,0.03
2008,8,1,0,188,0
2008,8,2,1,173,0.005780347
2008,9,1,0,231,0
2008,9,2,1,172,0.005813953
2009,5,1,0,105,0
2009,5,2,0,69,0
2009,6,1,0,99,0
2009,6,2,0,87,0
2009,7,1,0,122,0
2009,7,2,0,138,0
2009,8,1,3,178,0.01685393
2009,8,2,0,180,0
2009,9,1,2,214,0.009345794
2009,9,2,2,202,0.00990099
2010,5,1,2,105,0.01904762
2010,5,2,0,66,0
2010,6,1,0,93,0
2010,6,2,0,89,0
2010,7,1,0,106,0
2010,7,2,2,116,0.01724138
2010,8,1,0,173,0
2010,8,2,0,162,0
2010,9,1,1,212,0.004716981
2010,9,2,0,224,0
2011,5,1,0,92,0
2011,5,2,1,75,0.01333333
2011,6,1,1,103,0.009708738
2011,6,2,1,90,0.01111111
2011,7,1,1,120,0.008333333
2011,7,2,0,133,0
2011,8,1,1,170,0.005882353
2011,8,2,0,167,0
2011,9,1,1,276,0.003623188
2011,9,2,0,177,0
2012,5,1,1,86,0.01162791
2012,5,2,0,60,0
2012,6,1,0,71,0
2012,6,2,1,73,0.01369863
2012,7,1,0,104,0
2012,7,2,1,108,0.009259259
2012,8,1,2,150,0.01333333
2012,8,2,0,156,0
2012,9,1,3,182,0.01648352
2012,9,2,1,175,0.005714286
2013,5,1,0,63,0
2013,5,2,0,44,0
2013,6,1,0,66,0
2013,6,2,0,72,0
2013,7,1,0,99,0
2013,7,2,0,112,0
2013,8,1,0,161,0
2013,8,2,1,138,0.007246377
2013,9,1,2,199,0.01005025
2013,9,2,0,180,0
2014,5,1,3,103,0.02912621
2014,5,2,0,79,0
2014,6,1,2,92,0.02173913
2014,6,2,0,95,0
2014,7,1,0,118,0
2014,7,2,0,118,0
2014,8,1,1,167,0.005988024
2014,8,2,0,170,0
2014,9,1,0,165,0
2014,9,2,0,193,0
2015,5,1,1,94,0.0106383
2015,5,2,1,70,0.01428571
2015,6,1,0,107,0
2015,6,2,0,95,0
2015,7,1,1,136,0.007352941
2015,7,2,0,118,0
2015,8,1,1,162,0.00617284
2015,8,2,0,177,0
2015,9,1,2,239,0.008368201
2015,9,2,1,198,0.005050505
2016,5,1,0,115,0
2016,5,2,0,78,0
2016,6,1,0,106,0
2016,6,2,0,83,0
2016,7,1,0,132,0
2016,7,2,0,150,0
2016,8,1,1,174,0.005747126
2016,8,2,0,152,0
2016,9,1,3,223,0.01345291
2016,9,2,0,168,0
2017,5,1,1,76,0.01315789
2017,5,2,0,40,0
2017,6,1,0,94,0
2017,6,2,1,66,0.01515152
2017,7,1,1,121,0.008264463
2017,7,2,0,114,0
2017,8,1,0,159,0
2017,8,2,1,140,0.007142857
2017,9,1,1,185,0.005405405
2017,9,2,0,141,0
2018,5,1,1,117,0.008547009
2018,5,2,0,71,0
2018,6,1,0,100,0
2018,6,2,0,103,0
2018,7,1,0,139,0
2018,7,2,0,109,0
2018,8,1,0,200,0
2018,8,2,0,185,0
2018,9,1,0,208,0
2018,9,2,0,202,0
2019,5,1,0,96,0
2019,5,2,0,80,0
2019,6,1,1,102,0.009803922
2019,6,2,0,91,0
2019,7,1,2,158,0.01265823
2019,7,2,0,119,0
2019,8,1,0,190,0
2019,8,2,0,194,0
2019,9,1,0,209,0
2019,9,2,0,184,0
A6_01_F Kathetergesttzte ablative Therapie ,,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2008,2355,,,,
2009,2570,,,,
2010,2794,,,,
2011,3216,,,,
2012,3108,,,,
2013,3288,,,,
2014,3827,,,,
2015,4146,,,,
2016,4653,,,,
2017,4920,,,,
2018,5098,,,,
2019,5820,,,,
"I3_03_M Schenkelhalsfraktur, Alter 60-69, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,9,512,1.757812,,
2009,7,511,1.369863,,
2010,13,609,2.134647,,
2011,4,653,0.6125574,,
2012,9,614,1.465798,,
2013,7,599,1.168614,,
2014,5,600,0.8333333,,
2015,6,646,0.9287926,,
2016,9,617,1.458671,,
2017,5,645,0.7751938,,
2018,1,600,0.1666667,,
2019,2,647,0.309119,,
"A1_13_M ND Herzinfarkt (Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,671,4194,15.99905,,
2009,694,3598,19.28849,,
2010,655,3536,18.52376,,
2011,660,3676,17.9543,,
2012,621,3724,16.67562,,
2013,691,3875,17.83226,,
2014,730,4230,17.25768,,
2015,721,4707,15.31761,,
2016,806,5086,15.84742,,
2017,855,5350,15.98131,,
2018,780,5590,13.95349,,
2019,813,5940,13.68687,,
G1_02N_F Vaginale Geburten ,,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2008,49894,,,,
2009,51697,,,,
2010,53934,,,,
2011,53622,,,,
2012,54687,,,,
2013,55141,,,,
2014,56246,,,,
2015,57536,,,,
2016,58585,,,,
2017,58798,,,,
2018,59265,,,,
2019,58340,,,,
"E2_01_X Herniotomie ohne OP am Darm, Aufenthaltsdauer ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,StayCH,CasesCH,pCH,,
2008,72240,22349,3.232359,,
2009,69567,22424,3.102346,,
2010,67231,22368,3.005678,,
2011,65711,22830,2.878274,,
2012,67605,23387,2.890709,,
2013,67899,24017,2.827122,,
2014,69015,24600,2.805488,,
2015,68691,24763,2.773937,,
2016,68860,25148,2.73819,,
2017,67197,25655,2.619256,,
2018,62372,24050,2.59343,,
2019,55628,20389,2.728334,,
"A1_11_M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,245,4867,5.033902,,
2009,291,5820,5,,
2010,313,7331,4.26954,,
2011,324,8413,3.851183,,
2012,354,8398,4.215289,,
2013,365,8527,4.280521,,
2014,357,9220,3.872017,,
2015,335,9728,3.443668,,
2016,343,10035,3.418037,,
2017,349,9984,3.495593,,
2018,298,10138,2.939436,,
2019,297,10098,2.941176,,
"J1_01_M Beatmungsflle >24 h (ohne Neugeborene), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2009,1557,6676,23.32235,,
2010,2366,9953,23.77173,,
2011,2620,11059,23.69111,,
2012,2922,11552,25.29432,,
2013,3082,12041,25.59588,,
2014,3084,12054,25.58487,,
2015,2885,11369,25.37602,,
2016,2956,11535,25.62635,,
2017,3059,11291,27.09237,,
2018,3032,11302,26.82711,,
2019,2842,10860,26.16943,,
"E2_03_P Anteil alloplastische OP bei Inguinalhernie, Alter 0-19 ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,CasesCHDen,pCH,,
2008,119,710,16.76056,,
2009,152,703,21.62162,,
2010,122,667,18.29085,,
2011,145,637,22.76295,,
2012,160,663,24.13273,,
2013,142,606,23.43234,,
2014,142,634,22.39748,,
2015,152,651,23.34869,,
2016,141,562,25.08897,,
2017,165,611,27.00491,,
2018,111,576,19.27083,,
2019,66,405,16.2963,,
L1_02_F HerzLungenTransplantation ,,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2015,1,,,,
"A3_05_M Therapeutische Katheter der Koronargefsse ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,90,9041,0.9954651,,
2009,86,8447,1.018113,,
2010,105,9310,1.12782,,
2011,105,9078,1.156642,,
2012,106,7997,1.325497,,
2013,92,8080,1.138614,,
2014,98,8658,1.131901,,
2015,105,8710,1.205511,,
2016,145,9558,1.517054,,
2017,99,9793,1.010926,,
2018,113,10632,1.062829,,
2019,131,11061,1.184341,,
"A3_12_M Diagnostische Katheter der Koronargefsse ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), mit Reanimation vor Aufnahme, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2019,58,152,38.15789,,
"E7_06_M Anatomische Leberresektionen von 4 und mehr Lebersegmenten (Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2016,10,247,4.048583,,
2017,9,255,3.529412,,
2018,9,240,3.75,,
2019,13,234,5.555556,,
"D4_02_M Pneumonektomien bei Bronchialkarzinom, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,9,150,6,,
2009,6,95,6.315789,,
2010,8,129,6.20155,,
2011,10,127,7.874016,,
2012,5,101,4.950495,,
2013,6,91,6.593407,,
2014,6,98,6.122449,,
2015,9,97,9.278351,,
2016,7,93,7.526882,,
2017,4,88,4.545455,,
2018,4,78,5.128205,,
2019,5,78,6.410256,,
J1_02_S Mittlere Beatmungsdauer bei Beatmungsfllen >24 h (ohne Neugeborene) ,,,,,
BAG/OFSP/UFSP - CH-IQI Version V5.2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,SVarCH,pCH,,
2008,NA,NA,NA,,
2009,6676,1087527,162.901,,
2010,9953,1670227,167.8114,,
2011,11059,1831786,165.6376,,
2012,11552,1858196,160.8549,,
2013,12041,1928221,160.1379,,
2014,12054,1892737,157.0215,,
2015,11369,1780160,156.5802,,
2016,11535,1798023,155.8754,,
2017,11291,1720496,152.3776,,
2018,11302,1679085,148.5653,,
2019,10860,1662877,153.1194,,
"D1_12_M HD Pneumonie, Alter >84, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,298,2584,11.53251,,
2009,318,2833,11.22485,,
2010,261,2667,9.786277,,
2011,295,2830,10.42403,,
2012,306,3136,9.757653,,
2013,284,3431,8.27747,,
2014,310,3345,9.267564,,
2015,408,4367,9.342798,,
2016,352,3908,9.007165,,
2017,416,4711,8.830397,,
2018,402,4875,8.246154,,
2019,417,4913,8.487686,,
"L5_03_F Nierentransplantation, allogen, Leichenniere ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2011,159,,,,
2012,156,,,,
2013,151,,,,
2014,143,,,,
2015,188,,,,
2016,189,,,,
2017,211,,,,
2018,227,,,,
2019,208,,,,
A3_01_F Flle mit Katheter der Koronargefsse (Alter >19) ,,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2008,30816,,,,
2009,30957,,,,
2010,34184,,,,
2011,33804,,,,
2012,32737,,,,
2013,33145,,,,
2014,35200,,,,
2015,35474,,,,
2016,37144,,,,
2017,37124,,,,
2018,37164,,,,
2019,37541,,,,
"A7_10_M Minimalinvasive Implantation einer Aortenklappe transapikal, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2011,9,93,9.677419,,
2012,10,100,10,,
2013,16,107,14.95327,,
2014,6,107,5.607477,,
2015,3,96,3.125,,
2016,3,92,3.26087,,
2017,8,67,11.9403,,
2018,2,55,3.636364,,
2019,2,38,5.263158,,
"B1_19_P Anteil HD Schlaganfall mit Stroke Unit Behandlung (Alter >19), Direktaufnahmen ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,CasesCHDen,pCH,,
2009,804,10412,7.721859,,
2010,1250,10732,11.64741,,
2011,1550,10914,14.20194,,
2012,2636,11586,22.7516,,
2013,3184,12203,26.09194,,
2014,3809,12334,30.88211,,
2015,4921,12998,37.85967,,
2016,6062,13560,44.70501,,
2017,6169,14427,42.7601,,
2018,6481,15196,42.64938,,
2019,7104,15636,45.43361,,
