ICD-10,Bezeichnung,age,value
155,"Stroke, not referred to as hemorrhage or infarction",0-4,0.0
226,Other inflammatory diseases of the female pelvic organs,0-4,8.0
247,birth trauma,0-4,847.0
235,Medically induced abortion,0-4,0.0
259,Other congenital malformations of the digestive system,0-4,637.0
999,unknown,0-4,304.0
105,malnutrition,0-4,12.0
118,intellectual disability,0-4,0.0
069,Malignant neoplasm of bone and articular cartilage,0-4,8.0
110,Volumenmangel,0-4,23.0
285,Toxic effects of mainly non-medically used substances,0-4,30.0
030,Virusenzephalitis,0-4,16.0
091,Benign neoplasm of the mammary gland,0-4,0.0
132,Keratitis and other diseases of the sclera and cornea,0-4,1.0
280,Crushing and traumatic amputations of specified and multiple body regions,0-4,41.0
251,Other infections specific to the perinatal period,0-4,637.0
074,Malignant neoplasm of the cervix uteri,0-4,0.0
066,Malignant neoplasms of the larynx,0-4,0.0
234,Spontaneous abortion,0-4,0.0
085,Hodgkin's disease [lymphogranulomatosis],0-4,0.0
292,Other people with potential health risks related to communicable diseases,0-4,212.0
224,salpingitis and oophoritis,0-4,1.0
263,Congenital deformities of the feet,0-4,300.0
042,Mykosen,0-4,16.0
094,Benign neoplasm of the hamstrings,0-4,0.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,0-4,1.0
100,Certain disorders involving the immune system,0-4,29.0
262,Congenital deformities of the hip,0-4,187.0
252,Hemolytic disease in the fetus and newborn,0-4,393.0
257,lip-. Cleft jaw and palate,0-4,257.0
141,hearing loss,0-4,43.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,0-4,375.0
260,Nondescensus testis,0-4,247.0
033,Infections caused by herpes viruses [Herpes simplexl,0-4,69.0
255,Other congenital malformations of the nervous system,0-4,261.0
212,Other glomerular diseases,0-4,27.0
095,Benign neoplasm of the brain and other parts of the central nervous system,0-4,15.0
136,Strabismus,0-4,14.0
081,Malignant neoplasm of the eye and the ocular appendages,0-4,64.0
089,Carcinoma in situ der Cervix uteri,0-4,0.0
277,Injury to the eye and orbit,0-4,8.0
232,female sterility,0-4,0.0
007,tuberculosis of the respiratory organs,0-4,8.0
231,climacteric disorders,0-4,0.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",0-4,10.0
269,Senilität,0-4,0.0
107,Other vitamin deficiencies,0-4,12.0
177,bronchiectasis,0-4,1.0
166,Acute laryngitis and tracheitis,0-4,70.0
144,Chronic rheumatic heart disease,0-4,0.0
250,Congenital infectious and parasitic diseases,0-4,144.0
090,Benign neoplasm of the skin,0-4,47.0
038,Other viral hepatitis,0-4,2.0
083,Malignant neoplasm of other parts of the central nervous system,0-4,6.0
008,Other tuberculosis,0-4,1.0
048,Echinococci,0-4,0.0
130,inflammation of the eyelid,0-4,41.0
039,HIV disease [Human Immunodeficiency Virus Disease],0-4,0.0
023,Sexually Transmitted Chlamydia Diseases,0-4,0.0
158,Other peripheral vascular diseases,0-4,1.0
266,Chromosomal abnormalities not classified elsewhere,0-4,61.0
043,Malaria,0-4,1.0
211,Acute and rapidly progressive nephritic syndromes,0-4,4.0
024,Other infections primarily transmitted through sexual intercourse,0-4,0.0
022,Gonococcal infection,0-4,1.0
178,Pneumokoniosis,0-4,0.0
016,Meningococcal Infection,0-4,12.0
021,Other syphilis,0-4,0.0
180,dental caries,0-4,10.0
131,Conjunctivitis and other affections of the conjunctiva,0-4,8.0
258,"Absence, atresia and stenosis of the small intestine",0-4,29.0
254,Spina bifida,0-4,25.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,0-4,0.0
293,contraceptive measures,0-4,0.0
053,Other helminths,0-4,2.0
138,blindness and poor eyesight,0-4,1.0
225,Inflammatory disease of the cervix,0-4,0.0
015,whooping cough,0-4,7.0
003,Shigellosis [Bacterial dysentery],0-4,1.0
037,Acute viral hepatitis B,0-4,0.0
004,Amoebiasis [amoebic dysentery],0-4,0.0
275,Fractures involving multiple body regions,0-4,0.0
137,accommodation disorders and refractive errors,0-4,0.0
020,Frühsyphilis,0-4,0.0
143,Acute rheumatic fever,0-4,0.0
101,Thyroid diseases caused by iodine deficiency,0-4,1.0
035,measles,0-4,1.0
289,"Consequences of injuries, poisoning and other effects of external causes",0-4,0.0
046,Schistosomiasis [Bilharziosis],0-4,0.0
040,Mumps,0-4,0.0
044,leishmaniasis,0-4,0.0
010,Brucellosis,0-4,1.0
002,Typhus abdominalis und Paratyphus,0-4,1.0
108,Consequences of malnutrition and other nutritional deficiencies,0-4,0.0
055,sequelae of poliomyelitis,0-4,0.0
294,Prenatal screening and other monitoring of pregnancy,0-4,0.0
047,Infestation by other trematodes (flukes),0-4,0.0
013,Other tetanus,0-4,0.0
025,relapsing fever,0-4,0.0
051,Filariose,0-4,0.0
001,Cholera,0-4,0.0
011,leprosy,0-4,0.0
106,Vitamin-A-Mangel,0-4,0.0
201,Osteoarthritis,5-9,0.0
295,live births by place of birth,5-9,0.0
242,Other complications during pregnancy and childbirth,5-9,0.0
274,Fractures of other parts of the extremities,5-9,1667.0
169,Pneumonia,5-9,209.0
270,Other symptoms and abnormal clinical and laboratory findings not elsewhere classified,5-9,294.0
288,"Certain early complications of trauma and complications of surgery and medical treatment, not elsewhere classified",5-9,158.0
116,mood disorders,5-9,6.0
206,Other diseases of the spine and back,5-9,31.0
239,Other care of the mother with regard to the fetus and the amniotic cavity and possible delivery complications,5-9,0.0
281,Other injuries to specified and unspecified and multiple body regions,5-9,564.0
207,Diseases of the quail tissue,5-9,49.0
278,intracranial injury,5-9,1394.0
151,heart failure,5-9,5.0
273,Fracture of the Femur,5-9,103.0
154,Stroke,5-9,8.0
148,Other ischemic heart diseases,5-9,1.0
147,Acute myocardial infarction,5-9,0.0
150,conduction disorders and cardiac arrhythmias,5-9,35.0
195,Cholelithiasis and Chelezystitis,5-9,7.0
203,Other diseases of the joints,5-9,92.0
119,Other mental and behavioral disorders,5-9,197.0
113,Mental and behavioral disorders caused by alcohol,5-9,0.0
115,"Schizophrenia, schizotypal and delusional disorders",5-9,0.0
272,"Fracture of the neck, thorax or pelvis",5-9,23.0
213,Tubulointerstitial kidney disease,5-9,81.0
117,"Neurotic, stress and somatoform disorders",5-9,42.0
192,Other diseases of the intestine and peritoneum,5-9,83.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,5-9,78.0
205,Cervical and other disc damage,5-9,0.0
276,"Dislocation, sprain and strain of specified and multiple body regions",5-9,58.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",5-9,26.0
217,Other diseases of the urinary system,5-9,26.0
186,Diseases of the Appendix,5-9,594.0
179,Other diseases of the respiratory system,5-9,78.0
152,Other heart diseases,5-9,23.0
017,Sepsis,5-9,25.0
187,inguinal hernia,5-9,24.0
191,Darmes diverticulosis,5-9,0.0
073,Malignant neoplasm of the mammary gland,5-9,0.0
215,Urolithiasis,5-9,13.0
188,Other Hrnia,5-9,15.0
253,Other conditions originating in the perinatal period,5-9,1.0
202,Acquired deformities of the extremities,5-9,73.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",5-9,5.0
249,Other neonatal respiratory diseases originating in the perinatal period,5-9,0.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",5-9,1.0
129,Other diseases of the nervous system,5-9,105.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,5-9,0.0
079,Malignant neoplasm of the urinary bladder,5-9,0.0
198,Skin and subcutaneous infections,5-9,223.0
157,atherosclerosis,5-9,0.0
218,Prostatahyperplasie,5-9,0.0
077,Malignant neoplasm of the prostate,5-9,0.0
124,epilepsy,5-9,329.0
208,Changes in crook density and structure,5-9,61.0
190,Paralytic ileus and mechanical ileus without hernia,5-9,40.0
104,Mellitus diabetes,5-9,125.0
172,Other diseases of the nose and paranasal sinuses,5-9,15.0
114,Mental and behavioral disorders caused by other psychotropic substances,5-9,1.0
197,Other diseases of the digestive system,5-9,18.0
199,Other skin and subcutaneous diseases,5-9,56.0
210,Other diseases of the musculoskeletal system and connective tissue,5-9,40.0
018,Other bacterial diseases,5-9,43.0
006,Other infectious intestinal diseases,5-9,121.0
153,intracranial hemorrhage,5-9,8.0
149,pulmonary embolism,5-9,0.0
111,Other endocrine. Nutritional and metabolic disorders,5-9,69.0
170,Acute bronchitis and acute bronchiolitis,5-9,269.0
061,Malignant neoplasm of the colon,5-9,2.0
160,"Other diseases of the arteries, arterioles and capillaries",5-9,1.0
092,Leiomyom des Uterus,5-9,0.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,5-9,2.0
142,Other diseases of the ear and mastoid process,5-9,35.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,5-9,1165.0
164,Other diseases of the circulatory system,5-9,53.0
185,"Other diseases of the esophagus, stomach and duodenum",5-9,20.0
196,Acute pancreatitis and other diseases of the pancreas,5-9,2.0
214,renal insufficiency,5-9,5.0
297,People who use the health service for the purpose of specific measures and medical care,5-9,18.0
086,Non-Hodgkin's Lymphoma,5-9,41.0
243,Spontaneous birth of an individual,5-9,0.0
109,obesity,5-9,3.0
064,Malignant neoplasm of the pancreas,5-9,0.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,5-9,0.0
227,endometriosis,5-9,0.0
267,abdominal and pelvic pain,5-9,83.0
233,Other diseases of the genitourinary system,5-9,8.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",5-9,0.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",5-9,123.0
298,People who use the healthcare system for other reasons,5-9,29.0
240,birth impediment,5-9,0.0
271,Fracture of the skull and facial bones,5-9,107.0
139,Other diseases of the eye and adnexa,5-9,27.0
228,Female genital prolapse,5-9,0.0
127,"Diseases of nerves, nerve roots and nerve plexus",5-9,4.0
168,Flu,5-9,100.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,5-9,26.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",5-9,1.0
121,Primary Parkinson's Syndrome,5-9,0.0
087,leukemia,5-9,290.0
156,Other cerebrovascular diseases,5-9,28.0
167,Other acute upper respiratory tract infections,5-9,76.0
241,postpartum hemorrhage,5-9,0.0
279,Injury to other internal organs,5-9,99.0
183,Ulcer ventriculi and Ulcus duodeni,5-9,2.0
145,Essential (primary) hypertension,5-9,0.0
093,Benign neoplasm of the ovary,5-9,8.0
063,Malignant neoplasm of the liver and intrahepatic bile ducts,5-9,3.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",5-9,5.0
080,Other malignant neoplasms of the urinary organs,5-9,8.0
171,Chronic sinusitis,5-9,2.0
076,Other malignant neoplasms of the female genital organs,5-9,7.0
174,Other diseases of the upper respiratory tract,5-9,61.0
134,Retinal detachment and retinal tear,5-9,2.0
082,Malignant neoplasm of the brain,5-9,74.0
162,Varicose veins of the lower extremities,5-9,0.0
194,Other diseases of the liver,5-9,10.0
112,dementia,5-9,0.0
128,Cerebral palsy and other paralytic syndromes,5-9,24.0
060,Malignant neoplasm of the stomach,5-9,0.0
268,Fever of unknown cause,5-9,27.0
088,"Other malignant neoplasms of the lymphatic, haematopoietic and related tissues",5-9,4.0
176,Bronchial asthma,5-9,356.0
222,Other diseases of the male genital organs,5-9,40.0
256,Congenital malformations of the circulatory system,5-9,143.0
184,gastritis and duodenitis,5-9,20.0
041,Other viral diseases,5-9,80.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",5-9,0.0
284,"Poisoning by medicinal products, drugs and biologically active substances",5-9,6.0
193,Alcoholic Liver Disease,5-9,0.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",5-9,0.0
216,Zystitis,5-9,4.0
236,Other pregnancy with abortive outcome,5-9,0.0
099,Hemorrhagic diathesis and other diseases of the blood and blood-forming organs,5-9,71.0
072,Malignant neoplasms of mesothelial tissue and soft tissue,5-9,28.0
122,Alzheimer's disease,5-9,0.0
103,Other diseases of the thyroid,5-9,0.0
182,"Other diseases of the oral cavity, salivary glands and jaws",5-9,33.0
133,Cataract and other affections of the lens,5-9,1.0
204,Systemic diseases of the connective tissue,5-9,20.0
146,Other hypertensive diseases,5-9,0.0
287,Other and unspecified damage caused by external causes,5-9,74.0
189,Crohn's disease and ulcerative colitis,5-9,8.0
135,glaucoma,5-9,2.0
071,Other malignant neoplasms of the skin,5-9,0.0
098,Other anemias,5-9,49.0
097,iron deficiency anemia,5-9,5.0
125,Migraine and other headache syndromes,5-9,29.0
057,Other infectious and parasitic diseases,5-9,47.0
140,Otitis media and other diseases of the middle ear and the mastoid process,5-9,120.0
223,diseases of the mammary glands,5-9,0.0
065,Other malignant neoplasms of the digestive organs,5-9,0.0
075,Malignant neoplasm of other and unspecified parts of the uterus,5-9,0.0
123,Multiple Sclerosis,5-9,0.0
261,Other malformations of the urogenital system,5-9,100.0
159,Arterial embolism and thrombosis,5-9,0.0
209,Osteomyelitis,5-9,60.0
059,Malignant neoplasm of the esophagus,5-9,0.0
220,hydrocele and spermatocele,5-9,8.0
248,Intrauterine hypoxia and asphyxia during childbirth,5-9,0.0
219,Other diseases of the prostate,5-9,0.0
070,Malignant melanoma of the skin,5-9,0.0
290,People who use the healthcare system for examination and clarification,5-9,43.0
264,Other congenital malformations and deformities of the musculoskeletal system,5-9,66.0
165,Acute pharyngitis and acute tonsillitis,5-9,54.0
102,Hyperthyroidism (Thyrotoxicosis),5-9,0.0
296,Postpartum care and examination,5-9,0.0
265,Other congenital malformations,5-9,73.0
181,Other diseases of the teeth and periodontium,5-9,35.0
078,Other malignant neoplasms of the male genital organs,5-9,2.0
283,burns and chemical burns,5-9,47.0
161,"Phlebitis, thrombophlebitis, venous embolism and thrombosis",5-9,1.0
120,Inflammatory diseases of the central nervous system,5-9,29.0
230,menstrual disorders,5-9,0.0
282,Consequences of entering a foreign body through a natural orifice,5-9,52.0
034,Varicella [chicken pox] and zoster,5-9,11.0
155,"Stroke, not referred to as hemorrhage or infarction",5-9,0.0
226,Other inflammatory diseases of the female pelvic organs,5-9,1.0
247,birth trauma,5-9,0.0
235,Medically induced abortion,5-9,0.0
259,Other congenital malformations of the digestive system,5-9,15.0
999,unknown,5-9,4.0
105,malnutrition,5-9,4.0
118,intellectual disability,5-9,0.0
069,Malignant neoplasm of bone and articular cartilage,5-9,46.0
110,Volumenmangel,5-9,11.0
285,Toxic effects of mainly non-medically used substances,5-9,30.0
030,Virusenzephalitis,5-9,25.0
091,Benign neoplasm of the mammary gland,5-9,0.0
132,Keratitis and other diseases of the sclera and cornea,5-9,0.0
280,Crushing and traumatic amputations of specified and multiple body regions,5-9,19.0
251,Other infections specific to the perinatal period,5-9,0.0
074,Malignant neoplasm of the cervix uteri,5-9,0.0
066,Malignant neoplasms of the larynx,5-9,0.0
234,Spontaneous abortion,5-9,0.0
085,Hodgkin's disease [lymphogranulomatosis],5-9,4.0
292,Other people with potential health risks related to communicable diseases,5-9,4.0
224,salpingitis and oophoritis,5-9,0.0
263,Congenital deformities of the feet,5-9,34.0
042,Mykosen,5-9,5.0
094,Benign neoplasm of the hamstrings,5-9,3.0
068,Other malignant neoplasms of the respiratory and intrathoracic organs,5-9,14.0
100,Certain disorders involving the immune system,5-9,5.0
262,Congenital deformities of the hip,5-9,18.0
252,Hemolytic disease in the fetus and newborn,5-9,0.0
257,lip-. Cleft jaw and palate,5-9,38.0
141,hearing loss,5-9,13.0
245,Damage to the fetus and newborn from maternal factors and from complications of pregnancy. labor and delivery,5-9,0.0
260,Nondescensus testis,5-9,48.0
033,Infections caused by herpes viruses [Herpes simplexl,5-9,13.0
255,Other congenital malformations of the nervous system,5-9,9.0
212,Other glomerular diseases,5-9,33.0
095,Benign neoplasm of the brain and other parts of the central nervous system,5-9,12.0
136,Strabismus,5-9,22.0
081,Malignant neoplasm of the eye and the ocular appendages,5-9,5.0
089,Carcinoma in situ der Cervix uteri,5-9,0.0
277,Injury to the eye and orbit,5-9,11.0
232,female sterility,5-9,0.0
007,tuberculosis of the respiratory organs,5-9,0.0
231,climacteric disorders,5-9,0.0
221,"Foreskin hypertrophy, phimosis and paraphimosis",5-9,13.0
269,Senilität,5-9,0.0
107,Other vitamin deficiencies,5-9,0.0
177,bronchiectasis,5-9,0.0
166,Acute laryngitis and tracheitis,5-9,23.0
144,Chronic rheumatic heart disease,5-9,0.0
250,Congenital infectious and parasitic diseases,5-9,0.0
090,Benign neoplasm of the skin,5-9,3.0
038,Other viral hepatitis,5-9,3.0
083,Malignant neoplasm of other parts of the central nervous system,5-9,5.0
008,Other tuberculosis,5-9,1.0
048,Echinococci,5-9,3.0
130,inflammation of the eyelid,5-9,20.0
039,HIV disease [Human Immunodeficiency Virus Disease],5-9,0.0
023,Sexually Transmitted Chlamydia Diseases,5-9,0.0
158,Other peripheral vascular diseases,5-9,0.0
266,Chromosomal abnormalities not classified elsewhere,5-9,0.0
043,Malaria,5-9,1.0
211,Acute and rapidly progressive nephritic syndromes,5-9,12.0
024,Other infections primarily transmitted through sexual intercourse,5-9,0.0
022,Gonococcal infection,5-9,0.0
178,Pneumokoniosis,5-9,0.0
016,Meningococcal Infection,5-9,0.0
021,Other syphilis,5-9,0.0
180,dental caries,5-9,3.0
131,Conjunctivitis and other affections of the conjunctiva,5-9,0.0
258,"Absence, atresia and stenosis of the small intestine",5-9,1.0
254,Spina bifida,5-9,1.0
032,Other arthropod-borne viral diseases and viral haemorrhagic fevers,5-9,0.0
293,contraceptive measures,5-9,0.0
053,Other helminths,5-9,0.0
138,blindness and poor eyesight,5-9,0.0
225,Inflammatory disease of the cervix,5-9,0.0
015,whooping cough,5-9,0.0
003,Shigellosis [Bacterial dysentery],5-9,0.0
037,Acute viral hepatitis B,5-9,0.0
004,Amoebiasis [amoebic dysentery],5-9,0.0
275,Fractures involving multiple body regions,5-9,0.0
137,accommodation disorders and refractive errors,5-9,0.0
020,Frühsyphilis,5-9,0.0
143,Acute rheumatic fever,5-9,0.0
101,Thyroid diseases caused by iodine deficiency,5-9,0.0
035,measles,5-9,0.0
289,"Consequences of injuries, poisoning and other effects of external causes",5-9,0.0
046,Schistosomiasis [Bilharziosis],5-9,0.0
040,Mumps,5-9,0.0
044,leishmaniasis,5-9,0.0
010,Brucellosis,5-9,1.0
002,Typhus abdominalis und Paratyphus,5-9,1.0
108,Consequences of malnutrition and other nutritional deficiencies,5-9,0.0
055,sequelae of poliomyelitis,5-9,0.0
294,Prenatal screening and other monitoring of pregnancy,5-9,0.0
047,Infestation by other trematodes (flukes),5-9,0.0
013,Other tetanus,5-9,0.0
025,relapsing fever,5-9,0.0
051,Filariose,5-9,0.0
001,Cholera,5-9,0.0
011,leprosy,5-9,0.0
