ICD-10,Bezeichnung,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,Total
273,Fracture of the Femur,37.0,30.0,43.0,25.0,14.0,23.0,36.0,25.0,31.0,42.0,150.0,225.0,371.0,571.0,1062.0,1748.0,2541.0,3335.0,2345.0,837.0,13491.0
207,Diseases of the quail tissue,15.0,15.0,62.0,151.0,176.0,191.0,215.0,358.0,555.0,907.0,1384.0,1506.0,1226.0,974.0,992.0,794.0,578.0,401.0,201.0,43.0,10744.0
073,Malignant neoplasm of the mammary gland,0.0,0.0,0.0,1.0,9.0,36.0,157.0,323.0,657.0,1009.0,1268.0,1138.0,1106.0,1089.0,1208.0,1054.0,716.0,394.0,111.0,21.0,10297.0
119,Other mental and behavioral disorders,30.0,51.0,573.0,1435.0,1084.0,869.0,664.0,522.0,441.0,386.0,380.0,276.0,198.0,210.0,326.0,539.0,713.0,820.0,534.0,152.0,10203.0
195,Cholelithiasis and Chelezystitis,5.0,3.0,8.0,83.0,253.0,508.0,713.0,765.0,688.0,760.0,882.0,908.0,835.0,798.0,794.0,741.0,626.0,501.0,221.0,60.0,10152.0
151,heart failure,7.0,5.0,2.0,8.0,1.0,4.0,9.0,8.0,21.0,42.0,69.0,130.0,210.0,393.0,690.0,1172.0,1847.0,2513.0,1797.0,550.0,9478.0
281,Other injuries to specified and unspecified and multiple body regions,538.0,231.0,242.0,271.0,252.0,278.0,246.0,245.0,281.0,373.0,541.0,545.0,511.0,406.0,504.0,642.0,873.0,1119.0,780.0,300.0,9178.0
117,"Neurotic, stress and somatoform disorders",3.0,20.0,319.0,988.0,705.0,609.0,620.0,760.0,718.0,784.0,791.0,749.0,461.0,369.0,385.0,350.0,271.0,198.0,64.0,14.0,9178.0
272,"Fracture of the neck, thorax or pelvis",3.0,10.0,38.0,67.0,87.0,94.0,74.0,82.0,101.0,126.0,277.0,359.0,379.0,470.0,629.0,1025.0,1560.0,1814.0,1158.0,340.0,8693.0
278,intracranial injury,984.0,553.0,502.0,448.0,272.0,230.0,179.0,209.0,195.0,224.0,302.0,311.0,341.0,326.0,463.0,655.0,840.0,915.0,544.0,195.0,8688.0
154,Stroke,4.0,3.0,1.0,11.0,20.0,32.0,47.0,61.0,83.0,130.0,200.0,273.0,421.0,699.0,952.0,1422.0,1584.0,1548.0,781.0,185.0,8457.0
203,Other diseases of the joints,29.0,47.0,197.0,741.0,662.0,585.0,537.0,505.0,568.0,714.0,771.0,712.0,536.0,406.0,412.0,368.0,243.0,186.0,63.0,10.0,8292.0
213,Tubulointerstitial kidney disease,379.0,52.0,39.0,223.0,304.0,326.0,365.0,373.0,393.0,421.0,510.0,554.0,464.0,480.0,570.0,633.0,570.0,467.0,251.0,57.0,7431.0
150,conduction disorders and cardiac arrhythmias,30.0,16.0,25.0,50.0,44.0,60.0,61.0,71.0,106.0,150.0,263.0,394.0,493.0,662.0,1010.0,1269.0,1180.0,976.0,449.0,89.0,7398.0
096,Other in situ and benign neoplasms and neoplasms with uncertain or unknown behavior,98.0,40.0,47.0,81.0,113.0,142.0,240.0,283.0,419.0,486.0,736.0,775.0,765.0,730.0,832.0,673.0,453.0,260.0,119.0,17.0,7309.0
192,Other diseases of the intestine and peritoneum,78.0,41.0,49.0,97.0,129.0,207.0,294.0,333.0,395.0,450.0,507.0,483.0,492.0,529.0,653.0,748.0,767.0,631.0,320.0,91.0,7294.0
202,Acquired deformities of the extremities,7.0,35.0,214.0,144.0,154.0,199.0,220.0,278.0,388.0,571.0,798.0,925.0,824.0,656.0,715.0,538.0,197.0,85.0,12.0,2.0,6962.0
115,"Schizophrenia, schizotypal and delusional disorders",0.0,0.0,31.0,179.0,277.0,480.0,650.0,774.0,663.0,674.0,865.0,732.0,465.0,401.0,301.0,192.0,139.0,76.0,29.0,13.0,6941.0
205,Cervical and other disc damage,0.0,0.0,1.0,44.0,72.0,192.0,329.0,470.0,609.0,657.0,705.0,620.0,544.0,465.0,605.0,623.0,439.0,192.0,38.0,6.0,6611.0
084,"Malignant neoplasm of other, imprecisely specified, secondary and unspecified localizations as well as at several localizations",14.0,13.0,7.0,37.0,40.0,72.0,121.0,182.0,263.0,366.0,552.0,710.0,703.0,820.0,800.0,823.0,573.0,305.0,120.0,14.0,6535.0
217,Other diseases of the urinary system,81.0,11.0,10.0,30.0,37.0,46.0,92.0,149.0,245.0,303.0,359.0,363.0,344.0,386.0,612.0,737.0,904.0,871.0,488.0,140.0,6208.0
113,Mental and behavioral disorders caused by alcohol,0.0,0.0,66.0,155.0,158.0,310.0,310.0,635.0,593.0,807.0,803.0,740.0,508.0,350.0,252.0,114.0,59.0,15.0,1.0,0.0,5876.0
186,Diseases of the Appendix,50.0,231.0,499.0,622.0,517.0,562.0,490.0,411.0,351.0,358.0,406.0,374.0,281.0,228.0,179.0,134.0,81.0,46.0,11.0,1.0,5832.0
191,Darmes diverticulosis,0.0,0.0,0.0,0.0,7.0,10.0,28.0,73.0,114.0,219.0,424.0,596.0,646.0,629.0,767.0,770.0,641.0,467.0,205.0,43.0,5639.0
147,Acute myocardial infarction,0.0,0.0,0.0,0.0,0.0,2.0,20.0,48.0,73.0,129.0,253.0,371.0,432.0,503.0,752.0,901.0,940.0,737.0,294.0,88.0,5543.0
276,"Dislocation, sprain and strain of specified and multiple body regions",12.0,23.0,154.0,559.0,480.0,509.0,402.0,445.0,480.0,498.0,436.0,351.0,201.0,108.0,127.0,123.0,164.0,123.0,62.0,18.0,5275.0
092,Leiomyom des Uterus,0.0,0.0,0.0,3.0,16.0,94.0,295.0,573.0,1032.0,1469.0,873.0,301.0,144.0,85.0,70.0,24.0,14.0,6.0,1.0,0.0,5000.0
188,Other Hrnia,15.0,6.0,1.0,23.0,48.0,143.0,262.0,471.0,402.0,356.0,414.0,415.0,392.0,431.0,463.0,455.0,366.0,185.0,79.0,19.0,4946.0
152,Other heart diseases,13.0,15.0,15.0,20.0,30.0,31.0,26.0,54.0,60.0,95.0,162.0,228.0,320.0,461.0,644.0,906.0,904.0,676.0,236.0,32.0,4928.0
148,Other ischemic heart diseases,0.0,0.0,0.0,0.0,2.0,2.0,4.0,10.0,36.0,81.0,170.0,333.0,473.0,637.0,944.0,1005.0,683.0,347.0,109.0,13.0,4849.0
208,Changes in crook density and structure,6.0,21.0,35.0,50.0,44.0,44.0,55.0,45.0,67.0,82.0,151.0,201.0,235.0,315.0,571.0,749.0,957.0,728.0,367.0,86.0,4809.0
179,Other diseases of the respiratory system,196.0,34.0,17.0,39.0,51.0,53.0,62.0,93.0,129.0,180.0,223.0,300.0,380.0,426.0,532.0,533.0,594.0,500.0,283.0,82.0,4707.0
017,Sepsis,22.0,11.0,8.0,21.0,24.0,28.0,34.0,56.0,52.0,103.0,150.0,224.0,266.0,393.0,540.0,697.0,708.0,651.0,343.0,93.0,4424.0
246,intrauterine deficiency development. fetal malnutrition and disorders associated with short gestation and low birth weight,4305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4305.0
175,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases",5.0,1.0,0.0,3.0,3.0,7.0,7.0,12.0,19.0,47.0,134.0,251.0,507.0,634.0,783.0,902.0,493.0,323.0,128.0,29.0,4288.0
243,Spontaneous birth of an individual,0.0,0.0,0.0,9.0,225.0,1077.0,1785.0,1025.0,158.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4285.0
253,Other conditions originating in the perinatal period,4229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4230.0
244,Complications occurring predominantly in the puerperium and other conditions during the gestational period not elsewhere classified,0.0,0.0,0.0,30.0,274.0,926.0,1501.0,987.0,230.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.0
190,Paralytic ileus and mechanical ileus without hernia,32.0,16.0,18.0,40.0,40.0,65.0,85.0,94.0,151.0,158.0,236.0,244.0,285.0,301.0,418.0,512.0,463.0,434.0,253.0,56.0,3901.0
227,endometriosis,0.0,0.0,2.0,50.0,201.0,486.0,717.0,789.0,680.0,531.0,275.0,70.0,41.0,31.0,16.0,7.0,5.0,0.0,0.0,0.0,3901.0
249,Other neonatal respiratory diseases originating in the perinatal period,3713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.0
067,"Malignant neoplasm of the trachea, bronchi and lungs",0.0,1.0,0.0,1.0,2.0,2.0,6.0,20.0,24.0,58.0,163.0,320.0,551.0,648.0,808.0,574.0,342.0,131.0,53.0,5.0,3709.0
129,Other diseases of the nervous system,94.0,50.0,42.0,92.0,92.0,102.0,101.0,122.0,158.0,175.0,248.0,256.0,286.0,351.0,392.0,437.0,344.0,220.0,62.0,15.0,3639.0
240,birth impediment,0.0,0.0,0.0,8.0,178.0,864.0,1460.0,867.0,151.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3536.0
228,Female genital prolapse,0.0,0.0,0.0,0.0,1.0,7.0,44.0,91.0,134.0,208.0,290.0,403.0,408.0,479.0,498.0,506.0,227.0,115.0,32.0,5.0,3448.0
124,epilepsy,228.0,152.0,105.0,173.0,128.0,133.0,102.0,123.0,108.0,143.0,175.0,181.0,202.0,188.0,229.0,280.0,322.0,281.0,107.0,17.0,3377.0
233,Other diseases of the genitourinary system,2.0,1.0,18.0,74.0,78.0,129.0,239.0,354.0,371.0,314.0,334.0,269.0,232.0,247.0,278.0,195.0,135.0,73.0,25.0,6.0,3374.0
111,Other endocrine. Nutritional and metabolic disorders,70.0,41.0,47.0,55.0,86.0,87.0,107.0,99.0,104.0,88.0,152.0,199.0,203.0,241.0,334.0,375.0,459.0,384.0,173.0,39.0,3343.0
157,atherosclerosis,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,13.0,15.0,54.0,102.0,220.0,299.0,442.0,574.0,625.0,537.0,288.0,86.0,3265.0
198,Skin and subcutaneous infections,163.0,112.0,129.0,203.0,190.0,152.0,175.0,162.0,129.0,149.0,161.0,189.0,160.0,142.0,177.0,199.0,183.0,219.0,101.0,44.0,3139.0
109,obesity,1.0,1.0,2.0,55.0,201.0,321.0,370.0,426.0,409.0,401.0,375.0,293.0,159.0,59.0,20.0,10.0,9.0,4.0,0.0,0.0,3116.0
199,Other skin and subcutaneous diseases,49.0,25.0,25.0,72.0,89.0,125.0,124.0,148.0,173.0,163.0,245.0,251.0,189.0,175.0,224.0,256.0,292.0,215.0,149.0,34.0,3023.0
006,Other infectious intestinal diseases,293.0,54.0,43.0,85.0,85.0,87.0,76.0,82.0,81.0,75.0,106.0,147.0,134.0,168.0,250.0,280.0,355.0,321.0,178.0,40.0,2940.0
215,Urolithiasis,1.0,6.0,23.0,63.0,94.0,168.0,195.0,201.0,199.0,232.0,308.0,315.0,255.0,229.0,254.0,197.0,114.0,55.0,21.0,6.0,2936.0
210,Other diseases of the musculoskeletal system and connective tissue,2.0,13.0,110.0,96.0,111.0,95.0,103.0,120.0,136.0,143.0,225.0,242.0,230.0,218.0,294.0,324.0,236.0,136.0,36.0,9.0,2879.0
197,Other diseases of the digestive system,39.0,9.0,8.0,11.0,31.0,65.0,88.0,93.0,127.0,126.0,191.0,184.0,174.0,207.0,303.0,310.0,301.0,330.0,186.0,64.0,2847.0
297,People who use the health service for the purpose of specific measures and medical care,485.0,11.0,3.0,43.0,93.0,144.0,139.0,215.0,197.0,239.0,242.0,221.0,177.0,115.0,104.0,104.0,100.0,92.0,56.0,17.0,2797.0
142,Other diseases of the ear and mastoid process,11.0,7.0,27.0,26.0,28.0,42.0,70.0,106.0,113.0,151.0,239.0,249.0,222.0,263.0,296.0,315.0,325.0,201.0,78.0,11.0,2780.0
241,postpartum hemorrhage,0.0,0.0,0.0,7.0,171.0,708.0,1090.0,618.0,114.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2720.0
267,abdominal and pelvic pain,38.0,36.0,145.0,231.0,198.0,223.0,190.0,190.0,207.0,150.0,150.0,136.0,107.0,116.0,143.0,138.0,110.0,95.0,45.0,3.0,2651.0
172,Other diseases of the nose and paranasal sinuses,6.0,5.0,21.0,326.0,383.0,320.0,295.0,236.0,220.0,191.0,201.0,166.0,113.0,81.0,45.0,19.0,8.0,1.0,1.0,0.0,2638.0
093,Benign neoplasm of the ovary,2.0,8.0,11.0,76.0,133.0,151.0,202.0,195.0,174.0,154.0,259.0,289.0,294.0,238.0,178.0,138.0,45.0,20.0,2.0,0.0,2569.0
149,pulmonary embolism,1.0,0.0,0.0,8.0,26.0,22.0,23.0,37.0,50.0,56.0,80.0,113.0,149.0,237.0,343.0,393.0,445.0,348.0,158.0,32.0,2521.0
229,"Non-inflammatory diseases of the ovary, uterine tube and ligament latum",7.0,5.0,85.0,211.0,263.0,278.0,295.0,300.0,262.0,265.0,180.0,100.0,89.0,56.0,52.0,34.0,10.0,3.0,1.0,1.0,2497.0
076,Other malignant neoplasms of the female genital organs,1.0,7.0,9.0,4.0,19.0,32.0,40.0,61.0,68.0,120.0,198.0,249.0,326.0,317.0,324.0,326.0,223.0,118.0,41.0,6.0,2489.0
126,Cerebral Transient Ischemic Attacks and Related Syndromes,0.0,0.0,3.0,0.0,3.0,5.0,13.0,16.0,23.0,50.0,78.0,144.0,192.0,246.0,323.0,390.0,432.0,319.0,168.0,36.0,2441.0
173,Chronic diseases of the tonsils and pharyngeal tonsils,280.0,499.0,168.0,435.0,390.0,230.0,157.0,102.0,63.0,31.0,28.0,15.0,11.0,8.0,5.0,4.0,2.0,2.0,1.0,0.0,2431.0
104,Mellitus diabetes,38.0,61.0,104.0,111.0,48.0,43.0,41.0,32.0,52.0,80.0,121.0,175.0,160.0,167.0,248.0,276.0,240.0,251.0,99.0,20.0,2367.0
061,Malignant neoplasm of the colon,0.0,1.0,2.0,4.0,9.0,6.0,14.0,20.0,51.0,60.0,109.0,156.0,200.0,269.0,349.0,364.0,362.0,227.0,127.0,23.0,2353.0
153,intracranial hemorrhage,2.0,0.0,3.0,4.0,10.0,9.0,37.0,40.0,68.0,84.0,149.0,177.0,173.0,184.0,267.0,316.0,396.0,287.0,106.0,41.0,2353.0
164,Other diseases of the circulatory system,10.0,29.0,31.0,49.0,21.0,36.0,60.0,67.0,64.0,78.0,94.0,113.0,118.0,129.0,182.0,275.0,352.0,335.0,186.0,39.0,2268.0
018,Other bacterial diseases,27.0,18.0,9.0,25.0,19.0,20.0,38.0,36.0,71.0,72.0,125.0,133.0,146.0,165.0,224.0,261.0,320.0,312.0,167.0,50.0,2238.0
005,"Diarrhea and gastroenteritis, presumably of infectious origin",160.0,66.0,48.0,88.0,70.0,75.0,78.0,56.0,66.0,86.0,86.0,113.0,140.0,122.0,190.0,218.0,208.0,207.0,103.0,31.0,2211.0
170,Acute bronchitis and acute bronchiolitis,1534.0,110.0,4.0,8.0,5.0,10.0,6.0,12.0,14.0,17.0,29.0,16.0,21.0,31.0,57.0,70.0,88.0,79.0,55.0,20.0,2186.0
185,"Other diseases of the esophagus, stomach and duodenum",136.0,7.0,11.0,23.0,33.0,47.0,47.0,52.0,56.0,80.0,98.0,130.0,165.0,199.0,239.0,253.0,204.0,207.0,96.0,29.0,2112.0
237,"Edema, proteinuria and hypertension during pregnancy, labor and the puerperium",0.0,0.0,0.0,6.0,105.0,429.0,772.0,572.0,157.0,46.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.0
064,Malignant neoplasm of the pancreas,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,39.0,64.0,74.0,152.0,255.0,245.0,397.0,360.0,261.0,158.0,39.0,11.0,2065.0
298,People who use the healthcare system for other reasons,674.0,19.0,17.0,20.0,19.0,13.0,12.0,22.0,12.0,12.0,32.0,35.0,43.0,80.0,136.0,183.0,211.0,235.0,167.0,74.0,2016.0
238,"Placenta previa, placental abruption and prepartum hemorrhage",0.0,0.0,0.0,6.0,87.0,377.0,781.0,552.0,170.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0
236,Other pregnancy with abortive outcome,0.0,0.0,1.0,22.0,143.0,398.0,682.0,537.0,167.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0
127,"Diseases of nerves, nerve roots and nerve plexus",1.0,1.0,9.0,25.0,54.0,52.0,78.0,80.0,127.0,157.0,196.0,235.0,161.0,157.0,187.0,159.0,113.0,93.0,30.0,6.0,1921.0
114,Mental and behavioral disorders caused by other psychotropic substances,0.0,1.0,16.0,138.0,189.0,214.0,262.0,226.0,189.0,137.0,156.0,104.0,74.0,47.0,27.0,28.0,18.0,10.0,5.0,1.0,1842.0
145,Essential (primary) hypertension,0.0,0.0,0.0,1.0,0.0,2.0,9.0,10.0,21.0,32.0,63.0,86.0,114.0,174.0,205.0,271.0,342.0,322.0,159.0,31.0,1842.0
139,Other diseases of the eye and adnexa,38.0,12.0,14.0,19.0,10.0,24.0,36.0,35.0,34.0,40.0,62.0,126.0,166.0,235.0,271.0,306.0,200.0,119.0,49.0,12.0,1808.0
196,Acute pancreatitis and other diseases of the pancreas,2.0,1.0,7.0,22.0,35.0,69.0,72.0,83.0,107.0,119.0,134.0,172.0,185.0,142.0,173.0,154.0,146.0,126.0,41.0,10.0,1800.0
086,Non-Hodgkin's Lymphoma,9.0,11.0,15.0,12.0,42.0,13.0,54.0,36.0,26.0,39.0,108.0,202.0,167.0,194.0,231.0,288.0,178.0,86.0,50.0,5.0,1766.0
079,Malignant neoplasm of the urinary bladder,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,16.0,31.0,37.0,141.0,161.0,238.0,299.0,289.0,264.0,168.0,53.0,6.0,1715.0
214,renal insufficiency,1.0,0.0,3.0,26.0,10.0,17.0,11.0,19.0,25.0,52.0,60.0,80.0,107.0,140.0,185.0,256.0,244.0,261.0,108.0,37.0,1642.0
168,Flu,204.0,39.0,23.0,20.0,21.0,52.0,53.0,51.0,37.0,48.0,53.0,89.0,90.0,94.0,144.0,166.0,170.0,151.0,84.0,21.0,1610.0
075,Malignant neoplasm of other and unspecified parts of the uterus,0.0,0.0,0.0,5.0,0.0,2.0,5.0,13.0,23.0,57.0,115.0,169.0,214.0,204.0,268.0,235.0,152.0,86.0,28.0,3.0,1579.0
062,"Malignant neoplasm of the rectosigmoid, rectum, anus and anal canal",0.0,0.0,0.0,0.0,1.0,3.0,11.0,14.0,38.0,69.0,115.0,171.0,187.0,200.0,215.0,203.0,157.0,122.0,46.0,3.0,1555.0
162,Varicose veins of the lower extremities,0.0,0.0,0.0,2.0,10.0,21.0,59.0,109.0,117.0,132.0,154.0,170.0,128.0,150.0,140.0,115.0,79.0,60.0,42.0,10.0,1498.0
200,Chronic polyarthritis and other inflammatory polyarthropathies,16.0,10.0,6.0,15.0,16.0,19.0,16.0,14.0,22.0,50.0,72.0,75.0,89.0,121.0,152.0,196.0,232.0,228.0,96.0,29.0,1474.0
103,Other diseases of the thyroid,0.0,0.0,5.0,6.0,13.0,44.0,65.0,112.0,142.0,152.0,192.0,183.0,166.0,107.0,110.0,98.0,51.0,17.0,6.0,1.0,1470.0
160,"Other diseases of the arteries, arterioles and capillaries",2.0,1.0,0.0,4.0,9.0,20.0,34.0,31.0,31.0,39.0,56.0,96.0,148.0,148.0,206.0,237.0,198.0,125.0,45.0,9.0,1439.0
284,"Poisoning by medicinal products, drugs and biologically active substances",16.0,5.0,81.0,290.0,142.0,121.0,87.0,85.0,99.0,93.0,118.0,76.0,52.0,34.0,30.0,29.0,32.0,21.0,13.0,1.0,1425.0
156,Other cerebrovascular diseases,10.0,13.0,22.0,10.0,23.0,19.0,27.0,38.0,56.0,71.0,110.0,148.0,149.0,150.0,157.0,162.0,118.0,100.0,23.0,5.0,1411.0
223,diseases of the mammary glands,9.0,0.0,5.0,102.0,142.0,104.0,94.0,138.0,134.0,150.0,160.0,130.0,85.0,58.0,41.0,27.0,11.0,4.0,1.0,0.0,1395.0
167,Other acute upper respiratory tract infections,474.0,38.0,20.0,23.0,36.0,46.0,44.0,51.0,31.0,39.0,53.0,68.0,51.0,49.0,68.0,60.0,75.0,65.0,53.0,23.0,1367.0
187,inguinal hernia,59.0,8.0,7.0,12.0,29.0,37.0,63.0,53.0,78.0,72.0,76.0,74.0,96.0,82.0,136.0,158.0,130.0,101.0,46.0,13.0,1330.0
112,dementia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,8.0,36.0,91.0,215.0,307.0,363.0,209.0,46.0,1288.0
271,Fracture of the skull and facial bones,91.0,35.0,35.0,44.0,47.0,46.0,34.0,43.0,38.0,49.0,50.0,62.0,57.0,60.0,88.0,117.0,142.0,146.0,76.0,20.0,1280.0
176,Bronchial asthma,37.0,128.0,75.0,62.0,55.0,44.0,43.0,53.0,61.0,63.0,83.0,90.0,78.0,68.0,59.0,84.0,77.0,61.0,31.0,5.0,1257.0
184,gastritis and duodenitis,8.0,7.0,21.0,28.0,42.0,40.0,48.0,55.0,56.0,65.0,89.0,86.0,84.0,88.0,126.0,125.0,136.0,105.0,36.0,7.0,1252.0
296,Postpartum care and examination,0.0,0.0,0.0,5.0,52.0,239.0,543.0,310.0,62.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.0
087,leukemia,107.0,96.0,61.0,18.0,38.0,34.0,24.0,22.0,22.0,29.0,62.0,63.0,61.0,109.0,140.0,124.0,103.0,67.0,24.0,0.0,1204.0
204,Systemic diseases of the connective tissue,26.0,10.0,10.0,17.0,17.0,33.0,35.0,38.0,37.0,52.0,73.0,82.0,110.0,107.0,162.0,156.0,130.0,64.0,30.0,1.0,1190.0
146,Other hypertensive diseases,2.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,12.0,20.0,27.0,36.0,81.0,114.0,182.0,290.0,256.0,129.0,23.0,1184.0
121,Primary Parkinson's Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,39.0,57.0,71.0,132.0,193.0,314.0,217.0,112.0,26.0,3.0,1177.0
171,Chronic sinusitis,0.0,2.0,7.0,42.0,82.0,94.0,105.0,96.0,110.0,100.0,107.0,113.0,88.0,81.0,60.0,42.0,27.0,6.0,1.0,0.0,1163.0
125,Migraine and other headache syndromes,2.0,14.0,64.0,71.0,67.0,75.0,91.0,115.0,91.0,91.0,114.0,93.0,50.0,44.0,44.0,52.0,42.0,23.0,9.0,1.0,1153.0
122,Alzheimer's disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,14.0,19.0,52.0,113.0,212.0,320.0,257.0,117.0,14.0,1121.0
174,Other diseases of the upper respiratory tract,42.0,17.0,26.0,110.0,95.0,68.0,85.0,68.0,76.0,57.0,80.0,75.0,65.0,66.0,60.0,56.0,33.0,22.0,7.0,0.0,1108.0
183,Ulcer ventriculi and Ulcus duodeni,0.0,0.0,1.0,5.0,4.0,7.0,13.0,19.0,15.0,22.0,44.0,36.0,57.0,83.0,130.0,180.0,180.0,199.0,90.0,22.0,1107.0
216,Zystitis,5.0,1.0,2.0,13.0,12.0,8.0,14.0,2.0,11.0,15.0,25.0,32.0,42.0,73.0,100.0,152.0,210.0,197.0,120.0,43.0,1077.0
194,Other diseases of the liver,2.0,7.0,6.0,12.0,27.0,14.0,27.0,35.0,49.0,49.0,75.0,112.0,123.0,107.0,112.0,125.0,99.0,59.0,21.0,3.0,1064.0
268,Fever of unknown cause,182.0,14.0,9.0,11.0,12.0,24.0,30.0,26.0,19.0,35.0,65.0,44.0,45.0,47.0,88.0,107.0,118.0,113.0,44.0,20.0,1053.0
123,Multiple Sclerosis,0.0,0.0,3.0,13.0,25.0,45.0,57.0,71.0,86.0,88.0,160.0,148.0,118.0,85.0,73.0,46.0,15.0,0.0,1.0,0.0,1034.0
058,"Malignant neoplasm of the lip, oral cavity and pharynx",1.0,0.0,0.0,3.0,3.0,8.0,11.0,13.0,46.0,16.0,96.0,147.0,145.0,155.0,133.0,116.0,77.0,42.0,19.0,2.0,1033.0
230,menstrual disorders,0.0,0.0,8.0,16.0,9.0,24.0,80.0,225.0,269.0,235.0,139.0,17.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1029.0
133,Cataract and other affections of the lens,3.0,1.0,0.0,2.0,2.0,3.0,1.0,5.0,7.0,7.0,24.0,43.0,89.0,113.0,197.0,203.0,174.0,105.0,25.0,6.0,1010.0
135,glaucoma,1.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,4.0,7.0,25.0,51.0,76.0,119.0,155.0,207.0,196.0,104.0,38.0,4.0,998.0
082,Malignant neoplasm of the brain,66.0,38.0,22.0,14.0,11.0,20.0,21.0,47.0,24.0,49.0,85.0,104.0,79.0,113.0,126.0,90.0,60.0,21.0,7.0,0.0,997.0
