Region of residence,Geographic MedStat region,Number of deliveries,Number of cesarean sections,Cesarean section rate (%),Average age deliveries,Average age cesarean sections,year
VD64,Payerne,164,44,26.829268293,29.335365854,30.977272727,2015
VS01,Goms,32,7,21.875,31.78125,33.285714286,2015
VS02,Brig-Glis,139,36,25.899280576,32.021582734,32.055555556,2015
VS03,Simplonpass,35,6,17.142857143,32.657142857,35.833333333,2015
VS04,Naters-Mörel,120,38,31.666666667,30.625,30.815789474,2015
VS05,Saastal,32,8,25.0,31.03125,32.75,2015
VS06,Raron-Lötschental,62,16,25.806451613,30.5,30.4375,2015
VS07,Zermatt,60,21,35.0,31.1,31.761904762,2015
VS08,Mattertal,49,19,38.775510204,30.714285714,31.736842105,2015
VS09,Visp,119,38,31.932773109,30.714285714,32.789473684,2015
VS10,Susten-Gampel,61,11,18.032786885,29.967213115,33.363636364,2015
VS11,Leuk-Leukerbad,47,12,25.531914894,30.042553191,33.083333333,2015
VS12,Chalais-Lens,113,25,22.123893805,31.017699115,32.92,2015
VS13,Sierre,150,33,22.0,30.02,31.303030303,2015
VS15,Plateau-de-Montana,27,9,33.333333333,30.62962963,33.444444444,2015
VS16,Hauts-de-Sierre,51,10,19.607843137,32.235294118,33.3,2015
VS17,Sion,267,50,18.72659176,30.400749064,30.22,2015
VS18,Chamoson-Vétroz,128,30,23.4375,30.9609375,33.233333333,2015
VS19,Sion-Couronne Est,90,24,26.666666667,31.677777778,33.083333333,2015
VS20,Hérens,67,12,17.910447761,30.552238806,32.166666667,2015
VS21,Conthey,110,33,30.0,30.245454545,31.636363636,2015
VS22,Savièse,111,24,21.621621622,31.675675676,32.583333333,2015
VS23,Nendaz,76,17,22.368421053,31.236842105,31.882352941,2015
VS24,Forclaz-Vallée du Trient,79,19,24.050632911,30.253164557,29.526315789,2015
VS25,Charrat-Riddes,127,32,25.196850394,29.834645669,32.3125,2015
VS26,Fully-Leytron,128,26,20.3125,30.9296875,31.807692308,2015
VS27,Martigny,178,35,19.662921348,30.050561798,30.971428571,2015
VS28,Entremont,66,15,22.727272727,30.787878788,31.133333333,2015
VS29,Bagnes,70,18,25.714285714,32.271428571,32.722222222,2015
VS30,Collombey-Muraz,116,35,30.172413793,30.931034483,32.485714286,2015
VS31,St-Maurice,96,19,19.791666667,29.947916667,29.947368421,2015
VS32,Monthey,164,48,29.268292683,29.304878049,30.6875,2015
VS33,Val d'Illiez,69,25,36.231884058,31.420289855,32.04,2015
VS34,Bas-Chablais Valaisan,81,34,41.975308642,30.345679012,31.529411765,2015
NE01,Neuchâtel,353,104,29.461756374,31.654390935,33.480769231,2015
NE02,Peseux-Corcelles,115,33,28.695652174,32.652173913,34.121212121,2015
NE03,Colombier-Gorges de l'Areuse,92,24,26.086956522,31.347826087,32.125,2015
NE04,Boudry-Areuse,103,22,21.359223301,30.815533981,31.363636364,2015
NE05,Bevaix-Béroche,94,29,30.85106383,31.882978723,33.448275862,2015
NE06,Seyon-Vue des Alpes,98,23,23.469387755,31.591836735,32.869565217,2015
NE07,Val de Ruz-Col des Pontins,51,18,35.294117647,30.588235294,32.222222222,2015
NE08,Marin-St-Blaise,72,21,29.166666667,31.527777778,34.0,2015
NE09,Canal de Thielle,78,21,26.923076923,30.705128205,32.476190476,2015
NE10,Sagne-Martel-Brévine,39,12,30.769230769,29.230769231,28.416666667,2015
NE11,Le Locle,111,25,22.522522523,29.306306306,32.72,2015
NE12,La Chaux-de-Fonds,410,110,26.829268293,30.207317073,32.127272727,2015
NE13,Bas Val de Travers,57,21,36.842105263,29.403508772,30.904761905,2015
NE14,Haut Val de Travers,73,25,34.246575342,28.630136986,29.2,2015
GE01,Genève-Cornavin,289,87,30.103806228,32.321799308,33.620689655,2015
GE02,Genève-Servette-Nations,402,122,30.348258706,32.037313433,32.557377049,2015
GE03,Genève-Charmilles,440,141,32.045454545,31.986363636,32.787234043,2015
GE04,Genève-Cité,74,32,43.243243243,33.783783784,34.65625,2015
GE05,Genève-Plainpalais,473,133,28.118393235,32.4397463,33.781954887,2015
GE06,Genève-Champel,225,72,32.0,33.64,35.5,2015
GE07,Genève-Eaux-Vives,275,80,29.090909091,32.098181818,33.925,2015
GE08,Genève-Malagnou,148,51,34.459459459,33.297297297,34.588235294,2015
GE09,Genève-Petit-Saconnex,87,26,29.885057471,32.563218391,34.346153846,2015
GE10,Grand-Lancy,196,69,35.204081633,31.086734694,32.043478261,2015
GE11,Onex-Lancy,394,122,30.964467005,31.347715736,32.131147541,2015
GE12,Vernier Village,119,43,36.134453782,30.168067227,31.046511628,2015
GE13,Cointrin-Avanchets,85,25,29.411764706,30.564705882,31.96,2015
GE14,Meyrin,235,65,27.659574468,31.127659574,32.507692308,2015
GE15,Le Grand-Saconnex,116,40,34.482758621,31.922413793,33.925,2015
GE16,Châtelaine-Aïre-Lignon,258,70,27.131782946,30.988372093,33.242857143,2015
GE17,Cologny-Vésenaz,89,31,34.831460674,33.876404494,34.548387097,2015
GE18,Chêne-Conches,103,26,25.242718447,32.233009709,32.692307692,2015
GE19,Chêne-Bourg,91,29,31.868131868,31.703296703,33.344827586,2015
GE20,Thônex,126,40,31.746031746,32.134920635,33.5,2015
GE21,Carouge,344,109,31.686046512,31.944767442,33.146788991,2015
GE22,Plan-Perly,139,41,29.496402878,32.467625899,33.829268293,2015
GE23,Bernex-Confignon,102,38,37.254901961,33.676470588,34.052631579,2015
GE24,Veyrier-Troinex,118,47,39.830508475,33.796610169,34.340425532,2015
GE25,Mandement-Vallée du Rhône,138,47,34.057971014,33.028985507,34.0,2015
GE26,Léman Rive Droite,93,35,37.634408602,32.720430108,32.942857143,2015
GE27,Vandoeuvres-Campagne,90,34,37.777777778,33.366666667,34.088235294,2015
GE28,Collonge-Hermance,71,28,39.436619718,32.535211268,32.357142857,2015
GE29,Versoix-Céligny,138,45,32.608695652,31.746376812,33.711111111,2015
JU01,Les Franches-Montagnes,96,23,23.958333333,30.927083333,30.956521739,2015
JU02,Delémont,139,28,20.143884892,30.625899281,30.892857143,2015
JU03,La Sorne,105,12,11.428571429,30.171428571,30.666666667,2015
JU04,Val Terbi,124,25,20.161290323,30.798387097,30.68,2015
JU05,Clos-du-Doubs-Courgenay,60,9,15.0,30.816666667,34.222222222,2015
JU06,Porrentruy,54,10,18.518518519,29.888888889,29.8,2015
JU07,Basse-Allaine-Damvant,58,14,24.137931034,30.24137931,30.5,2015
JU08,Haute-Allaine-Bonfol,49,13,26.530612245,30.367346939,31.846153846,2015
9999,Unbekannt,1621,536,33.066008637,32.261566934,33.199626866,2015
ZH01,Zürich-City,185,66,35.675675676,33.416216216,35.46969697,2016
ZH02,Zürich-Sihlfeld,319,104,32.601880878,32.523510972,32.855769231,2016
ZH03,Zürich-Aussersihl,338,127,37.573964497,32.979289941,34.047244094,2016
ZH04,Zürich-Industriequartier,200,79,39.5,33.13,34.113924051,2016
ZH05,Zürich-Universität,230,92,40.0,34.956521739,35.239130435,2016
ZH06,Zürich-Riesbach,205,83,40.487804878,34.580487805,36.048192771,2016
ZH07,Zürich-Hottingen,195,79,40.512820513,34.430769231,35.316455696,2016
ZH08,Zürich-Wipkingen,247,84,34.008097166,33.421052632,34.547619048,2016
ZH09,Zürich-Wollishofen,170,67,39.411764706,33.335294118,34.402985075,2016
ZH10,Zürich-Leimbach-Albisgütli,213,76,35.680751174,32.502347418,33.381578947,2016
ZH11,Zürich-Zürichberg,217,89,41.013824885,33.903225806,34.752808989,2016
ZH12,Zürich-Affoltern,303,121,39.933993399,31.97029703,32.867768595,2016
ZH13,Zürich-Albisrieden,223,82,36.771300448,32.556053812,32.926829268,2016
ZH14,Zürich-Altstetten,392,155,39.540816327,31.867346939,33.129032258,2016
ZH15,Zürich-Höngg,262,100,38.167938931,34.030534351,34.98,2016
ZH16,Zürich-Oerlikon,347,125,36.023054755,33.031700288,33.496,2016
ZH17,Zürich-Schwamendingen,297,110,37.037037037,30.414141414,32.1,2016
ZH18,Zürich-Seebach,289,119,41.176470588,31.733564014,33.042016807,2016
ZH19,Zürich-Wiedikon,229,102,44.541484716,34.205240175,35.205882353,2016
ZH20,Zürich-Milchbrugg,223,77,34.529147982,33.820627803,34.428571429,2016
ZH21,Regensdorf,213,77,36.150234742,30.028169014,29.649350649,2016
ZH22,Maur-Fällanden,149,63,42.281879195,32.899328859,33.698412698,2016
ZH23,Glattbrugg,392,165,42.091836735,31.125,32.521212121,2016
ZH24,Kloten,197,81,41.116751269,31.670050761,32.530864198,2016
ZH25,Bassersdorf-Nürensdorf,166,63,37.951807229,31.843373494,32.761904762,2016
ZH26,Dietlikon-Wangen-Brüttisellen,137,64,46.715328467,31.693430657,32.421875,2016
ZH27,Dübendorf,288,108,37.5,31.173611111,32.990740741,2016
ZH28,Volketswil,265,106,40.0,31.924528302,32.226415094,2016
ZH29,Engstringen-Weiningen,115,41,35.652173913,31.530434783,32.195121951,2016
ZH30,Birmensdorf,110,43,39.090909091,32.845454545,34.069767442,2016
ZH31,Urdorf,108,39,36.111111111,32.25,33.717948718,2016
ZH32,Fahrweid-Oetwil,104,34,32.692307692,30.653846154,32.235294118,2016
ZH33,Schlieren,246,88,35.772357724,29.894308943,30.988636364,2016
ZH34,Dietikon,359,121,33.704735376,30.038997214,31.090909091,2016
ZH35,Bonstetten-Reppischtal,150,64,42.666666667,33.226666667,33.171875,2016
ZH36,Affoltern am Albis,160,55,34.375,31.1875,31.781818182,2016
ZH37,Obfelden,91,34,37.362637363,31.593406593,31.529411765,2016
ZH38,Knonaueramt,136,45,33.088235294,32.830882353,32.577777778,2016
ZH39,Adliswil,200,77,38.5,31.2,32.935064935,2016
ZH40,Langnau am Albis,86,33,38.372093023,32.220930233,31.787878788,2016
ZH41,Thalwil,230,112,48.695652174,33.691304348,34.1875,2016
ZH42,Kilchberg-Rüschlikon,169,80,47.337278107,34.053254438,34.9,2016
ZH43,Wädenswil,204,66,32.352941176,32.308823529,33.681818182,2016
ZH44,Richterswil,137,52,37.95620438,32.635036496,33.019230769,2016
ZH45,Horgen,229,109,47.598253275,32.074235808,32.76146789,2016
ZH46,Hirzel,49,23,46.93877551,33.489795918,33.869565217,2016
ZH47,Zollikon,141,57,40.425531915,34.418439716,35.543859649,2016
ZH48,Zumikon-Forch,55,26,47.272727273,33.218181818,32.346153846,2016
ZH49,Egg bei Zürich,72,30,41.666666667,33.069444444,33.166666667,2016
ZH50,Oetwil-Hombrechtikon,127,35,27.559055118,30.881889764,32.2,2016
ZH51,Küsnacht,139,65,46.762589928,33.913669065,35.553846154,2016
ZH52,Herrliberg-Erlenbach,105,45,42.857142857,33.59047619,34.444444444,2016
ZH53,Meilen,142,66,46.478873239,33.436619718,33.924242424,2016
ZH54,Männedorf-Uetikon,143,59,41.258741259,34.174825175,35.016949153,2016
ZH55,Stäfa,107,33,30.841121495,31.869158879,32.454545455,2016
ZH56,Fehraltorf,105,43,40.952380952,32.228571429,32.441860465,2016
ZH57,Wila-Tösstal,74,23,31.081081081,30.040540541,29.0,2016
ZH58,Pfäffikon ZH,119,41,34.453781513,31.428571429,32.829268293,2016
ZH59,Bäretswil-Hittnau,85,31,36.470588235,31.458823529,32.322580645,2016
ZH60,Hinwil,117,33,28.205128205,30.230769231,30.060606061,2016
ZH61,Wald-Tösstal,100,27,27.0,30.61,30.777777778,2016
ZH62,Greifensee,96,38,39.583333333,32.5,32.210526316,2016
ZH63,Wetzikon,330,100,30.303030303,30.803030303,31.38,2016
ZH64,Bubikon-Dürnten,151,40,26.490066225,32.390728477,33.525,2016
ZH65,Uster,351,129,36.752136752,32.153846154,33.666666667,2016
ZH66,Mönchaltorf-Gossau-Grüningen,172,50,29.069767442,31.76744186,32.5,2016
ZH67,Rüti,112,30,26.785714286,30.544642857,32.0,2016
ZH68,Effretikon-Kemptthal,162,73,45.061728395,31.62962963,31.945205479,2016
ZH69,Illnau-Weisslingen,48,25,52.083333333,31.479166667,30.92,2016
ZH70,Lindau-Brütten,62,24,38.709677419,31.451612903,32.666666667,2016
ZH71,Elgg-Elsau,106,31,29.245283019,30.962264151,32.387096774,2016
ZH72,Winterthur-Zentrum,1060,403,38.018867925,31.131132075,32.101736973,2016
ZH73,Winterthur-Oberwinterthur,51,14,27.450980392,32.31372549,34.214285714,2016
ZH74,Winterthur-Seen,42,15,35.714285714,32.404761905,33.866666667,2016
ZH76,Winterthur-Wülflingen,34,8,23.529411765,31.911764706,33.375,2016
ZH77,Neftenbach,86,29,33.720930233,32.686046512,33.103448276,2016
ZH78,Seuzach,95,30,31.578947368,31.726315789,33.8,2016
ZH79,Wiesendangen-Ellikon,109,47,43.119266055,33.174311927,33.787234043,2016
ZH80,Untertösstal,121,45,37.190082645,31.016528926,33.044444444,2016
ZH81,Feuerthalen-Uhwiesen,92,28,30.434782609,32.282608696,32.75,2016
ZH82,Südweinland,90,20,22.222222222,31.633333333,33.15,2016
ZH83,Nordweinland,73,19,26.02739726,31.684931507,32.789473684,2016
ZH84,Ostweinland,56,24,42.857142857,30.625,31.541666667,2016
ZH85,Hasli-Glatt,245,83,33.87755102,30.6,31.674698795,2016
ZH86,Dielsdorf-Wehntal,166,49,29.518072289,32.36746988,33.571428571,2016
ZH87,Stadel,101,28,27.722772277,30.801980198,31.607142857,2016
ZH88,Bülach,211,70,33.17535545,31.184834123,31.285714286,2016
ZH89,Winkel,67,25,37.313432836,32.373134328,34.08,2016
ZH90,Glattfelden-Rafz,186,56,30.107526882,31.698924731,31.75,2016
ZH91,Embrach,192,54,28.125,30.802083333,31.12962963,2016
ZH92,Unterfurttal,197,73,37.055837563,31.172588832,32.150684932,2016
ZH93,Wallisellen,199,72,36.180904523,32.010050251,33.944444444,2016
BE01,Bern-Länggasse-Tiefenau,230,73,31.739130435,32.986956522,33.273972603,2016
BE02,Bern-Zentrum,123,51,41.463414634,34.032520325,34.392156863,2016
BE03,Bern-Ostring,204,59,28.921568627,33.0,33.762711864,2016
BE04,Bern-Mattenhof,236,79,33.474576271,32.728813559,33.417721519,2016
BE05,Bern-Holligen,115,36,31.304347826,32.504347826,33.527777778,2016
BE06,Bern-Lorraine,139,37,26.618705036,32.791366906,34.027027027,2016
BE07,Bern-Breitenrain-Wankdorf,191,55,28.795811518,32.963350785,33.363636364,2016
BE08,Bern-Bümpliz,187,72,38.502673797,30.069518717,30.263888889,2016
BE09,Wohlen-Frauenkappelen,56,20,35.714285714,30.892857143,32.25,2016
BE10,Bern-Bethlehem,140,53,37.857142857,29.707142857,31.188679245,2016
BE11,Bremgarten-Meikirch,102,36,35.294117647,33.147058824,33.333333333,2016
BE12,Ittigen,104,31,29.807692308,31.480769231,31.258064516,2016
BE13,Zollikofen,133,42,31.578947368,30.84962406,32.333333333,2016
BE14,Münchenbuchsee,97,42,43.298969072,31.845360825,33.833333333,2016
BE15,Bolligen-Worbletal,101,47,46.534653465,32.376237624,32.829787234,2016
BE16,Ostermundigen,166,68,40.963855422,30.903614458,32.058823529,2016
BE17,Muri,82,34,41.463414634,33.658536585,34.176470588,2016
BE18,Worb,106,34,32.075471698,31.018867925,31.323529412,2016
BE19,Wabern-Liebefeld,223,71,31.838565022,32.632286996,33.028169014,2016
BE20,Köniz,111,43,38.738738739,32.027027027,32.23255814,2016
BE21,Belp-Kehrsatz,158,62,39.240506329,31.297468354,31.983870968,2016
BE22,Wangental-Scherli,127,44,34.645669291,30.976377953,31.318181818,2016
BE23,Schönbühl,122,49,40.163934426,30.336065574,30.326530612,2016
BE24,Jegenstorf,75,28,37.333333333,31.866666667,33.321428571,2016
BE25,Ins-Grosses Moos,102,38,37.254901961,31.029411765,32.605263158,2016
BE26,Aarberg,80,19,23.75,32.2625,32.736842105,2016
BE27,Kallnach-Grosses Moos,66,19,28.787878788,30.742424242,32.157894737,2016
BE28,Lyss,133,30,22.556390977,30.105263158,31.433333333,2016
BE29,Diessbach-Worben,63,20,31.746031746,30.26984127,31.95,2016
BE30,Lyssbach-Limpach,85,33,38.823529412,31.623529412,32.757575758,2016
BE31,Biel/Bienne-Zentrum,214,55,25.700934579,30.570093458,31.654545455,2016
BE32,Biel/Bienne-Madretsch,241,87,36.099585062,30.518672199,31.08045977,2016
BE33,Biel/Bienne-Bözingen,172,51,29.651162791,30.470930233,31.843137255,2016
BE34,Nördlicher Bielersee,45,8,17.777777778,33.422222222,33.875,2016
BE35,Orpund-Pieterlen,90,36,40.0,30.555555556,30.722222222,2016
BE36,Brügg-Studen,105,36,34.285714286,30.0,30.166666667,2016
BE37,Nidau-Port,112,33,29.464285714,31.642857143,32.060606061,2016
BE38,Südlicher Bielersee,95,29,30.526315789,32.684210526,35.0,2016
BE39,La Neuveville,59,7,11.86440678,30.576271186,33.0,2016
BE40,Basse Suze,71,22,30.985915493,30.154929577,32.090909091,2016
BE41,Tavannes-Pichoux,67,15,22.388059701,29.805970149,31.666666667,2016
BE42,Court,54,13,24.074074074,30.666666667,32.153846154,2016
BE43,Moutier,88,18,20.454545455,30.545454545,32.166666667,2016
BE44,Herzogenbuchsee,87,30,34.482758621,29.931034483,31.4,2016
BE45,Thörigen-Seeberg,50,17,34.0,32.24,34.176470588,2016
BE46,Wangen an der Aare,65,20,30.769230769,31.492307692,30.7,2016
BE47,Madiswil-Oeschenbach,77,26,33.766233766,31.363636364,32.269230769,2016
BE48,Huttwil-Dürrenroth,82,24,29.268292683,30.365853659,31.958333333,2016
BE49,Attiswil-Bipp,116,39,33.620689655,30.172413793,31.384615385,2016
BE50,Langenthal,151,51,33.774834437,29.993377483,30.274509804,2016
BE51,Aarwangen,88,30,34.090909091,29.977272727,31.3,2016
BE52,Roggwil-Murg,75,30,40.0,31.32,32.966666667,2016
BE53,Fraubrunnen-Bätterkinden,83,23,27.710843373,31.662650602,32.260869565,2016
BE54,Hindelbank,63,25,39.682539683,30.349206349,31.32,2016
BE55,Burgdorf,159,41,25.786163522,31.106918239,32.097560976,2016
BE56,Hasle-Oberburg,83,24,28.915662651,30.43373494,32.208333333,2016
BE57,Sumiswald,47,15,31.914893617,31.276595745,32.333333333,2016
BE58,Lützelflüh,59,20,33.898305085,31.305084746,30.75,2016
BE59,Kirchberg,102,35,34.31372549,30.578431373,31.771428571,2016
BE60,Wynigen,44,7,15.909090909,30.840909091,31.714285714,2016
BE61,Utzenstorf,46,21,45.652173913,31.652173913,31.952380952,2016
BE62,Zollbrück,72,20,27.777777778,29.791666667,30.3,2016
BE63,Oberes Emmental,48,21,43.75,32.145833333,33.0,2016
BE64,Langnau i. E.,60,17,28.333333333,30.0,30.117647059,2016
BE65,Trub-Napf,36,10,27.777777778,31.666666667,32.1,2016
BE66,Grosshöchstetten,79,30,37.974683544,31.924050633,32.1,2016
BE67,Münsingen,118,38,32.203389831,30.983050847,30.815789474,2016
BE68,Konolfingen,102,41,40.196078431,30.509803922,31.024390244,2016
BE69,Wichtrach,63,21,33.333333333,31.873015873,33.619047619,2016
BE70,Gürbetal,88,24,27.272727273,31.545454545,32.333333333,2016
BE71,Seftigen-Wattenwil,55,13,23.636363636,32.236363636,34.230769231,2016
BE72,Oberdiessbach,44,17,38.636363636,30.045454545,31.470588235,2016
BE73,Schwarzenburg,65,24,36.923076923,31.123076923,33.0,2016
BE74,Wald-Riggisberg,59,25,42.372881356,30.644067797,30.96,2016
BE75,Thun-Zentrum,177,57,32.203389831,31.011299435,31.0,2016
BE76,Thun-Westring,95,28,29.473684211,31.410526316,31.428571429,2016
BE77,Thun-Dürrenast,132,46,34.848484848,30.659090909,31.717391304,2016
BE78,Steffisburg,144,44,30.555555556,31.083333333,31.681818182,2016
BE79,Goldiwil-Schattenhalb,71,23,32.394366197,32.464788732,32.086956522,2016
BE80,Hilterfingen-Sigriswil,67,23,34.328358209,32.611940299,33.956521739,2016
BE81,Heimberg-Uetendorf,120,28,23.333333333,31.358333333,32.321428571,2016
BE82,Stockental,73,25,34.246575342,31.273972603,31.48,2016
BE83,Spiez,136,45,33.088235294,31.441176471,32.666666667,2016
BE84,Niedersimmental,66,23,34.848484848,30.409090909,30.826086957,2016
BE85,Saanenland,59,14,23.728813559,32.084745763,35.0,2016
BE86,Obersimmental,66,27,40.909090909,30.560606061,31.37037037,2016
BE87,Frutigen-Adelboden,88,39,44.318181818,30.636363636,30.948717949,2016
BE88,Kandertal-Kiental,47,11,23.404255319,30.957446809,31.818181818,2016
BE89,Interlaken,162,54,33.333333333,31.50617284,32.666666667,2016
BE90,Lauterbrunnen,36,10,27.777777778,31.361111111,32.5,2016
BE91,Brienzersee,62,13,20.967741935,29.725806452,31.846153846,2016
BE92,Grindelwald,36,11,30.555555556,32.638888889,35.363636364,2016
BE93,Oberhasli,80,24,30.0,31.75,34.458333333,2016
BE94,Lengnau,46,13,28.260869565,30.108695652,29.0,2016
BE95,Büren-Arch,63,21,33.333333333,30.888888889,30.619047619,2016
BE96,Gümmenen-Exklaven,55,24,43.636363636,31.181818182,33.083333333,2016
BE97,Laupen-Neuenegg,74,35,47.297297297,30.851351351,31.8,2016
BE98,Erguel,98,32,32.653061224,29.336734694,31.25,2016
BE99,Tramelan,62,18,29.032258065,30.419354839,31.444444444,2016
LU01,Luzern-Zentrum,182,61,33.516483516,32.153846154,32.918032787,2016
LU02,Luzern-Löwen,122,27,22.131147541,32.442622951,33.518518519,2016
LU03,Luzern-Allmend-Tribschen,261,83,31.800766284,33.034482759,34.21686747,2016
LU04,Luzern-Dreilinden-Seeburg,179,54,30.167597765,33.201117318,33.185185185,2016
LU05,Kriens,238,70,29.411764706,31.432773109,31.128571429,2016
LU06,Malters-Eigental,89,25,28.08988764,31.157303371,32.32,2016
LU07,Littau-Reussbühl,197,68,34.517766497,29.705583756,29.911764706,2016
LU08,Emmenbrücke,265,92,34.716981132,29.81509434,30.565217391,2016
LU09,Rothenburg-Hildisrieden,125,52,41.6,32.472,33.326923077,2016
LU10,Ebikon,153,55,35.947712418,31.196078431,32.509090909,2016
LU11,Emmen-Inwil,134,47,35.074626866,30.597014925,31.340425532,2016
LU12,Luzernes Reusstal,134,42,31.343283582,30.253731343,31.333333333,2016
LU13,Sonnseite,70,22,31.428571429,33.014285714,32.227272727,2016
LU14,Meggen,42,19,45.238095238,35.023809524,35.578947368,2016
LU15,Horw,94,38,40.425531915,32.234042553,33.763157895,2016
LU16,Neuenkirch,87,31,35.632183908,31.942528736,32.838709677,2016
LU17,Beromünster,97,29,29.896907216,31.226804124,29.689655172,2016
LU18,Hochdorf,139,57,41.007194245,30.532374101,30.421052632,2016
LU19,Seetal,50,12,24.0,31.86,34.333333333,2016
LU20,Nördlicher Sempachersee,72,26,36.111111111,33.430555556,33.923076923,2016
LU21,Südlicher Sempachersee,96,35,36.458333333,32.645833333,34.028571429,2016
LU22,Sursee,135,46,34.074074074,31.555555556,33.260869565,2016
LU23,Oberes Suhretal,119,36,30.25210084,30.521008403,32.416666667,2016
LU24,Lindenberg,91,28,30.769230769,31.725274725,32.071428571,2016
LU25,Ruswil-Grosswangen,121,33,27.272727273,31.504132231,32.151515152,2016
LU26,Wolhusen,80,36,45.0,29.9,29.416666667,2016
LU27,Willisau,132,49,37.121212121,30.916666667,31.0,2016
LU28,Oberes Wiggertal,99,32,32.323232323,31.323232323,31.90625,2016
LU29,Rottal-Luthern,61,16,26.229508197,30.885245902,31.5625,2016
LU30,Santenberg-Wauwilermoos,107,29,27.102803738,30.869158879,31.965517241,2016
LU31,Unteres Entlebuch,61,26,42.62295082,30.655737705,31.076923077,2016
LU32,Mittleres Entlebuch - Mariental,64,19,29.6875,30.71875,31.789473684,2016
LU33,Oberes Entlebuch,50,25,50.0,31.26,32.36,2016
LU34,Weggis,38,11,28.947368421,31.447368421,32.454545455,2016
LU35,Luzernes Wiggertal,121,37,30.578512397,30.123966942,30.972972973,2016
LU36,Pfaffnau,32,16,50.0,30.90625,32.0625,2016
UR01,Seelisberg,48,12,25.0,31.479166667,31.916666667,2016
UR02,Altdorf,110,24,21.818181818,30.963636364,31.708333333,2016
UR03,Schattdorf-Schächental,98,29,29.591836735,29.93877551,30.620689655,2016
UR04,Mittleres Uri,55,20,36.363636364,30.509090909,31.2,2016
SZ01,Küssnacht,107,43,40.186915888,31.85046729,32.209302326,2016
SZ02,Arth-Goldau,98,30,30.612244898,29.326530612,29.366666667,2016
SZ03,Lauerz-Sattel,68,15,22.058823529,30.808823529,31.133333333,2016
SZ04,Schwyz,135,42,31.111111111,30.822222222,30.928571429,2016
SZ05,Muotathal,52,14,26.923076923,30.730769231,32.071428571,2016
SZ06,Gersau-Brunnen,87,28,32.183908046,31.793103448,33.107142857,2016
SZ07,Rotenthurm,37,10,27.027027027,29.567567568,30.2,2016
SZ08,Einsiedeln-Alpthal,118,43,36.440677966,31.542372881,32.395348837,2016
SZ09,Iberg,77,29,37.662337662,30.480519481,30.75862069,2016
SZ11,Pfäffikon-Vorderhof,127,54,42.519685039,32.850393701,34.092592593,2016
SZ12,Wollerau-Hinterhof,135,58,42.962962963,32.185185185,32.603448276,2016
SZ13,Lachen,151,63,41.721854305,31.529801325,32.571428571,2016
SZ14,Wangen-Siebnen,150,40,26.666666667,31.153333333,32.175,2016
SZ15,Tuggen-Reichenburg,140,55,39.285714286,30.892857143,31.072727273,2016
OW01,Alpnach,79,11,13.924050633,30.53164557,33.272727273,2016
OW02,Sarnen,71,22,30.985915493,32.014084507,32.954545455,2016
OW03,Melchtal,118,30,25.423728814,31.025423729,32.633333333,2016
OW04,Giswil-Lungern,47,12,25.531914894,30.255319149,31.583333333,2016
OW05,Engelberg,34,12,35.294117647,31.411764706,31.416666667,2016
NW01,Pilatus-Bürgenstock,79,27,34.17721519,31.139240506,30.518518519,2016
NW02,Stans,107,30,28.037383178,32.61682243,33.866666667,2016
NW03,Bürgenstock-Seelisberg,139,55,39.568345324,32.014388489,32.345454545,2016
NW04,Engelbergeraatal,47,12,25.531914894,31.212765957,33.333333333,2016
GL01,Glarus,92,31,33.695652174,30.108695652,31.161290323,2016
GL02,Näfels,124,44,35.483870968,31.201612903,32.568181818,2016
GL03,Ziegelbrücke,88,35,39.772727273,28.863636364,28.571428571,2016
GL04,Schwanden-Sernftal,44,16,36.363636364,29.5,30.0,2016
GL05,Linthal,31,12,38.709677419,29.935483871,29.666666667,2016
ZG01,Zug,317,152,47.949526814,33.277602524,33.953947368,2016
ZG02,Cham,205,84,40.975609756,32.687804878,33.238095238,2016
ZG03,Menzingen,83,22,26.506024096,32.253012048,34.318181818,2016
ZG04,Steinhausen,110,44,40.0,32.027272727,33.5,2016
ZG05,Aegeri,124,44,35.483870968,31.532258065,32.431818182,2016
ZG06,Walchwil,50,22,44.0,34.12,37.0,2016
ZG07,Hünenberg-Rotkreuz,198,86,43.434343434,32.252525253,33.11627907,2016
ZG08,Baar,257,100,38.910505837,32.326848249,32.68,2016
FR01,Gibloux-Nord,99,24,24.242424242,31.313131313,31.291666667,2016
FR02,Fribourg,497,146,29.376257545,31.352112676,32.260273973,2016
FR03,Belfaux,118,29,24.576271186,31.449152542,34.0,2016
FR04,Marly,108,24,22.222222222,31.842592593,32.875,2016
FR05,Le Mouret,83,26,31.325301205,31.301204819,31.961538462,2016
FR06,Basse Glâne,147,47,31.972789116,31.537414966,32.723404255,2016
FR07,Fribourg-Ouest,274,87,31.751824818,31.01459854,32.252873563,2016
FR08,Gibloux-Sud,53,17,32.075471698,30.075471698,30.529411765,2016
FR09,Bulle,287,85,29.616724739,30.790940767,31.647058824,2016
FR10,Gibloux-Lac de Gruyère,85,19,22.352941176,31.129411765,31.105263158,2016
FR11,Broc-Berra-Jaun,105,27,25.714285714,31.628571429,31.777777778,2016
FR12,Gruyères-Intyamon,76,18,23.684210526,30.513157895,31.111111111,2016
FR13,Obersense,75,32,42.666666667,31.68,32.53125,2016
FR14,Tafers,76,20,26.315789474,31.868421053,33.1,2016
