,hospital,city,canton_name,main_code,disease_group,number_of_cases_2014_2019
70,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,L,Highly specialized medicine,2196
71,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,Vaud,M,Palliative Medicine,523
72,Cardiocentro Ticino (CCT),Lugano,Ticino,A,Cardiac diseases,78430
73,Cardiocentro Ticino (CCT),Lugano,Ticino,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",27
74,Cardiocentro Ticino (CCT),Lugano,Ticino,C,Geriatric Medicine,216
75,Cardiocentro Ticino (CCT),Lugano,Ticino,D,Lung diseases,89
76,Cardiocentro Ticino (CCT),Lugano,Ticino,E,Diseases of the abdominal organs,23
77,Cardiocentro Ticino (CCT),Lugano,Ticino,F,Vascular Diseases,867
78,Cardiocentro Ticino (CCT),Lugano,Ticino,H,Diseases of the urinary tract and male genitalia,2
79,Cardiocentro Ticino (CCT),Lugano,Ticino,I,"Diseases of the bones, joints, connective tissues",6
80,Cardiocentro Ticino (CCT),Lugano,Ticino,J,Complex conditions,3454
81,Cardiocentro Ticino (CCT),Lugano,Ticino,L,Highly specialized medicine,6
82,Center da Sanadad Savognin SA,Savognin,Graubünden,A,Cardiac diseases,362
83,Center da Sanadad Savognin SA,Savognin,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",176
84,Center da Sanadad Savognin SA,Savognin,Graubünden,C,Geriatric Medicine,13
85,Center da Sanadad Savognin SA,Savognin,Graubünden,D,Lung diseases,797
86,Center da Sanadad Savognin SA,Savognin,Graubünden,E,Diseases of the abdominal organs,94
87,Center da Sanadad Savognin SA,Savognin,Graubünden,F,Vascular Diseases,7
88,Center da Sanadad Savognin SA,Savognin,Graubünden,G,Gynecology and obstetrics,139
89,Center da Sanadad Savognin SA,Savognin,Graubünden,H,Diseases of the urinary tract and male genitalia,26
90,Center da Sanadad Savognin SA,Savognin,Graubünden,I,"Diseases of the bones, joints, connective tissues",125
91,Center da Sanadad Savognin SA,Savognin,Graubünden,J,Complex conditions,108
92,Center da Sanadad Savognin SA,Savognin,Graubünden,K,Skin disorders,7
93,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,A,Cardiac diseases,614
94,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",433
95,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,C,Geriatric Medicine,26
96,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,D,Lung diseases,729
97,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,E,Diseases of the abdominal organs,450
98,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,F,Vascular Diseases,8
99,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,G,Gynecology and obstetrics,1189
100,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,H,Diseases of the urinary tract and male genitalia,58
101,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,I,"Diseases of the bones, joints, connective tissues",884
102,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,J,Complex conditions,279
103,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,K,Skin disorders,17
104,Center da Sanda Engiadina Bassa Ospidal dEngiadina Bassa,Scuol,Graubünden,M,Palliative Medicine,2
105,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,A,Cardiac diseases,127
106,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",61
107,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,C,Geriatric Medicine,3
108,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,D,Lung diseases,197
109,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,E,Diseases of the abdominal organs,11
110,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,G,Gynecology and obstetrics,2
111,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,H,Diseases of the urinary tract and male genitalia,6
112,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,I,"Diseases of the bones, joints, connective tissues",64
113,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,J,Complex conditions,57
114,Center da Sanda Val Müstair Akutabteilung,Sta. Maria V. M.,Graubünden,K,Skin disorders,2
115,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,A,Cardiac diseases,38
116,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",27
117,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,C,Geriatric Medicine,7
118,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,D,Lung diseases,124
119,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,E,Diseases of the abdominal organs,3
120,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,H,Diseases of the urinary tract and male genitalia,4
121,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,I,"Diseases of the bones, joints, connective tissues",8
122,Centro Sanitario Bregaglia Reparto Acuto,Promontogno,Graubünden,J,Complex conditions,12
123,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,A,Cardiac diseases,610
124,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",187
125,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,C,Geriatric Medicine,24
126,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,D,Lung diseases,587
127,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,E,Diseases of the abdominal organs,109
128,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,F,Vascular Diseases,10
129,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,G,Gynecology and obstetrics,607
130,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,H,Diseases of the urinary tract and male genitalia,35
131,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,I,"Diseases of the bones, joints, connective tissues",191
132,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,J,Complex conditions,98
133,Centro Sanitario Valposchiavo Ospedale San Sisto,Poschiavo,Graubünden,K,Skin disorders,1
134,Clinica Luganese Moncucco SA,Lugano,Ticino,A,Cardiac diseases,2843
135,Clinica Luganese Moncucco SA,Lugano,Ticino,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",1091
136,Clinica Luganese Moncucco SA,Lugano,Ticino,C,Geriatric Medicine,10153
137,Clinica Luganese Moncucco SA,Lugano,Ticino,D,Lung diseases,8277
138,Clinica Luganese Moncucco SA,Lugano,Ticino,E,Diseases of the abdominal organs,7796
139,Clinica Luganese Moncucco SA,Lugano,Ticino,F,Vascular Diseases,710
140,Clinica Luganese Moncucco SA,Lugano,Ticino,G,Gynecology and obstetrics,826
141,Clinica Luganese Moncucco SA,Lugano,Ticino,H,Diseases of the urinary tract and male genitalia,5322
142,Clinica Luganese Moncucco SA,Lugano,Ticino,I,"Diseases of the bones, joints, connective tissues",3541
143,Clinica Luganese Moncucco SA,Lugano,Ticino,J,Complex conditions,2956
144,Clinica Luganese Moncucco SA,Lugano,Ticino,K,Skin disorders,95
145,Clinica Luganese Moncucco SA,Lugano,Ticino,M,Palliative Medicine,183
146,Clinica Santa Chiara SA,Locarno,Ticino,A,Cardiac diseases,1712
147,Clinica Santa Chiara SA,Locarno,Ticino,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",464
148,Clinica Santa Chiara SA,Locarno,Ticino,C,Geriatric Medicine,88
149,Clinica Santa Chiara SA,Locarno,Ticino,D,Lung diseases,2518
150,Clinica Santa Chiara SA,Locarno,Ticino,E,Diseases of the abdominal organs,1550
151,Clinica Santa Chiara SA,Locarno,Ticino,F,Vascular Diseases,117
152,Clinica Santa Chiara SA,Locarno,Ticino,G,Gynecology and obstetrics,8241
153,Clinica Santa Chiara SA,Locarno,Ticino,H,Diseases of the urinary tract and male genitalia,1006
154,Clinica Santa Chiara SA,Locarno,Ticino,I,"Diseases of the bones, joints, connective tissues",2247
155,Clinica Santa Chiara SA,Locarno,Ticino,J,Complex conditions,2933
156,Clinica Santa Chiara SA,Locarno,Ticino,K,Skin disorders,41
157,Clinique CIC Riviera,Clarens,Vaud,A,Cardiac diseases,1
158,Clinique CIC Riviera,Clarens,Vaud,C,Geriatric Medicine,3
159,Clinique CIC Riviera,Clarens,Vaud,E,Diseases of the abdominal organs,230
160,Clinique CIC Riviera,Clarens,Vaud,G,Gynecology and obstetrics,561
161,Clinique CIC Riviera,Clarens,Vaud,H,Diseases of the urinary tract and male genitalia,878
162,Clinique CIC Riviera,Clarens,Vaud,I,"Diseases of the bones, joints, connective tissues",2714
163,Clinique CIC Riviera,Clarens,Vaud,J,Complex conditions,2
164,Clinique CIC Valais SA,Saxon,Valais,A,Cardiac diseases,1
165,Clinique CIC Valais SA,Saxon,Valais,C,Geriatric Medicine,5
166,Clinique CIC Valais SA,Saxon,Valais,E,Diseases of the abdominal organs,835
167,Clinique CIC Valais SA,Saxon,Valais,F,Vascular Diseases,3
168,Clinique CIC Valais SA,Saxon,Valais,G,Gynecology and obstetrics,88
169,Clinique CIC Valais SA,Saxon,Valais,H,Diseases of the urinary tract and male genitalia,490
170,Clinique CIC Valais SA,Saxon,Valais,I,"Diseases of the bones, joints, connective tissues",3630
171,Clinique CIC Valais SA,Saxon,Valais,J,Complex conditions,8
172,Clinique CIC Valais SA,Saxon,Valais,K,Skin disorders,2
173,Clinique Générale­Beaulieu,Genève,Genève,A,Cardiac diseases,44
174,Clinique Générale­Beaulieu,Genève,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",38
175,Clinique Générale­Beaulieu,Genève,Genève,C,Geriatric Medicine,32
176,Clinique Générale­Beaulieu,Genève,Genève,D,Lung diseases,272
177,Clinique Générale­Beaulieu,Genève,Genève,E,Diseases of the abdominal organs,4764
178,Clinique Générale­Beaulieu,Genève,Genève,F,Vascular Diseases,23
179,Clinique Générale­Beaulieu,Genève,Genève,G,Gynecology and obstetrics,22027
180,Clinique Générale­Beaulieu,Genève,Genève,H,Diseases of the urinary tract and male genitalia,4442
181,Clinique Générale­Beaulieu,Genève,Genève,I,"Diseases of the bones, joints, connective tissues",4428
182,Clinique Générale­Beaulieu,Genève,Genève,J,Complex conditions,86
183,Clinique Générale­Beaulieu,Genève,Genève,K,Skin disorders,28
184,Clinique Volta SA,La Chaux-de-Fonds,Neuchâtel,E,Diseases of the abdominal organs,8
185,Clinique Volta SA,La Chaux-de-Fonds,Neuchâtel,G,Gynecology and obstetrics,71
186,Clinique Volta SA,La Chaux-de-Fonds,Neuchâtel,I,"Diseases of the bones, joints, connective tissues",33
187,Clinique de Carouge,Carouge ,Genève,A,Cardiac diseases,165
188,Clinique de Carouge,Carouge ,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3
189,Clinique de Carouge,Carouge ,Genève,C,Geriatric Medicine,6
190,Clinique de Carouge,Carouge ,Genève,D,Lung diseases,504
191,Clinique de Carouge,Carouge ,Genève,E,Diseases of the abdominal organs,92
192,Clinique de Carouge,Carouge ,Genève,F,Vascular Diseases,2
193,Clinique de Carouge,Carouge ,Genève,G,Gynecology and obstetrics,331
194,Clinique de Carouge,Carouge ,Genève,H,Diseases of the urinary tract and male genitalia,11
195,Clinique de Carouge,Carouge ,Genève,I,"Diseases of the bones, joints, connective tissues",51
196,Clinique de Carouge,Carouge ,Genève,J,Complex conditions,29
197,Clinique de Carouge,Carouge ,Genève,K,Skin disorders,2
198,Clinique de Carouge,Carouge ,Genève,L,Highly specialized medicine,2
199,Clinique de Genolier,Genolier,Vaud,A,Cardiac diseases,4260
200,Clinique de Genolier,Genolier,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",149
201,Clinique de Genolier,Genolier,Vaud,C,Geriatric Medicine,33
202,Clinique de Genolier,Genolier,Vaud,D,Lung diseases,1058
203,Clinique de Genolier,Genolier,Vaud,E,Diseases of the abdominal organs,1898
204,Clinique de Genolier,Genolier,Vaud,F,Vascular Diseases,451
205,Clinique de Genolier,Genolier,Vaud,G,Gynecology and obstetrics,3389
206,Clinique de Genolier,Genolier,Vaud,H,Diseases of the urinary tract and male genitalia,1001
207,Clinique de Genolier,Genolier,Vaud,I,"Diseases of the bones, joints, connective tissues",3205
208,Clinique de Genolier,Genolier,Vaud,J,Complex conditions,199
209,Clinique de Genolier,Genolier,Vaud,K,Skin disorders,34
210,Clinique de La Source,Lausanne,Vaud,A,Cardiac diseases,8284
211,Clinique de La Source,Lausanne,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",142
212,Clinique de La Source,Lausanne,Vaud,C,Geriatric Medicine,147
213,Clinique de La Source,Lausanne,Vaud,D,Lung diseases,1030
214,Clinique de La Source,Lausanne,Vaud,E,Diseases of the abdominal organs,6472
215,Clinique de La Source,Lausanne,Vaud,F,Vascular Diseases,120
216,Clinique de La Source,Lausanne,Vaud,G,Gynecology and obstetrics,13763
217,Clinique de La Source,Lausanne,Vaud,H,Diseases of the urinary tract and male genitalia,3156
218,Clinique de La Source,Lausanne,Vaud,I,"Diseases of the bones, joints, connective tissues",6410
219,Clinique de La Source,Lausanne,Vaud,J,Complex conditions,1254
220,Clinique de La Source,Lausanne,Vaud,K,Skin disorders,21
221,Clinique de La Source,Lausanne,Vaud,L,Highly specialized medicine,5
222,Clinique de Montchoisi,Lausanne,Vaud,A,Cardiac diseases,40
223,Clinique de Montchoisi,Lausanne,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",4
224,Clinique de Montchoisi,Lausanne,Vaud,C,Geriatric Medicine,3
225,Clinique de Montchoisi,Lausanne,Vaud,D,Lung diseases,117
226,Clinique de Montchoisi,Lausanne,Vaud,E,Diseases of the abdominal organs,151
227,Clinique de Montchoisi,Lausanne,Vaud,F,Vascular Diseases,2
228,Clinique de Montchoisi,Lausanne,Vaud,G,Gynecology and obstetrics,943
229,Clinique de Montchoisi,Lausanne,Vaud,H,Diseases of the urinary tract and male genitalia,2
230,Clinique de Montchoisi,Lausanne,Vaud,I,"Diseases of the bones, joints, connective tissues",782
231,Clinique de Montchoisi,Lausanne,Vaud,J,Complex conditions,32
232,Clinique de Montchoisi,Lausanne,Vaud,K,Skin disorders,3
233,Clinique de Montchoisi,Lausanne,Vaud,L,Highly specialized medicine,2
234,Clinique de la Plaine,Genève,Genève,E,Diseases of the abdominal organs,2
235,Clinique de la Plaine,Genève,Genève,G,Gynecology and obstetrics,259
236,Clinique de la Plaine,Genève,Genève,I,"Diseases of the bones, joints, connective tissues",2
237,Clinique des Grangettes SA,Chêne-Bougeries,Genève,A,Cardiac diseases,7244
238,Clinique des Grangettes SA,Chêne-Bougeries,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",44
239,Clinique des Grangettes SA,Chêne-Bougeries,Genève,C,Geriatric Medicine,17
240,Clinique des Grangettes SA,Chêne-Bougeries,Genève,D,Lung diseases,1256
241,Clinique des Grangettes SA,Chêne-Bougeries,Genève,E,Diseases of the abdominal organs,3821
242,Clinique des Grangettes SA,Chêne-Bougeries,Genève,F,Vascular Diseases,1241
243,Clinique des Grangettes SA,Chêne-Bougeries,Genève,G,Gynecology and obstetrics,27067
244,Clinique des Grangettes SA,Chêne-Bougeries,Genève,H,Diseases of the urinary tract and male genitalia,2473
245,Clinique des Grangettes SA,Chêne-Bougeries,Genève,I,"Diseases of the bones, joints, connective tissues",719
246,Clinique des Grangettes SA,Chêne-Bougeries,Genève,J,Complex conditions,179
247,Clinique des Grangettes SA,Chêne-Bougeries,Genève,K,Skin disorders,13
248,Clinique la Colline,Genève,Genève,A,Cardiac diseases,553
249,Clinique la Colline,Genève,Genève,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",79
250,Clinique la Colline,Genève,Genève,C,Geriatric Medicine,68
251,Clinique la Colline,Genève,Genève,D,Lung diseases,1346
252,Clinique la Colline,Genève,Genève,E,Diseases of the abdominal organs,3136
253,Clinique la Colline,Genève,Genève,F,Vascular Diseases,114
254,Clinique la Colline,Genève,Genève,G,Gynecology and obstetrics,595
255,Clinique la Colline,Genève,Genève,H,Diseases of the urinary tract and male genitalia,1182
256,Clinique la Colline,Genève,Genève,I,"Diseases of the bones, joints, connective tissues",5498
257,Clinique la Colline,Genève,Genève,J,Complex conditions,468
258,Clinique la Colline,Genève,Genève,K,Skin disorders,8
259,Clinique la Colline,Genève,Genève,L,Highly specialized medicine,1
260,EHC Ensemble hospitalier de la Côte,Morges,Vaud,A,Cardiac diseases,10834
261,EHC Ensemble hospitalier de la Côte,Morges,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",3309
262,EHC Ensemble hospitalier de la Côte,Morges,Vaud,C,Geriatric Medicine,6833
263,EHC Ensemble hospitalier de la Côte,Morges,Vaud,D,Lung diseases,7110
264,EHC Ensemble hospitalier de la Côte,Morges,Vaud,E,Diseases of the abdominal organs,4129
265,EHC Ensemble hospitalier de la Côte,Morges,Vaud,F,Vascular Diseases,1968
266,EHC Ensemble hospitalier de la Côte,Morges,Vaud,G,Gynecology and obstetrics,30573
267,EHC Ensemble hospitalier de la Côte,Morges,Vaud,H,Diseases of the urinary tract and male genitalia,1869
268,EHC Ensemble hospitalier de la Côte,Morges,Vaud,I,"Diseases of the bones, joints, connective tissues",5275
269,EHC Ensemble hospitalier de la Côte,Morges,Vaud,J,Complex conditions,3581
270,EHC Ensemble hospitalier de la Côte,Morges,Vaud,K,Skin disorders,101
271,EHC Ensemble hospitalier de la Côte,Morges,Vaud,M,Palliative Medicine,843
272,EOC Ente ospedaliero cantonale,Lugano,Ticino,A,Cardiac diseases,27492
273,EOC Ente ospedaliero cantonale,Lugano,Ticino,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",23682
274,EOC Ente ospedaliero cantonale,Lugano,Ticino,C,Geriatric Medicine,4967
275,EOC Ente ospedaliero cantonale,Lugano,Ticino,D,Lung diseases,39125
276,EOC Ente ospedaliero cantonale,Lugano,Ticino,E,Diseases of the abdominal organs,20649
277,EOC Ente ospedaliero cantonale,Lugano,Ticino,F,Vascular Diseases,7444
278,EOC Ente ospedaliero cantonale,Lugano,Ticino,G,Gynecology and obstetrics,46477
279,EOC Ente ospedaliero cantonale,Lugano,Ticino,H,Diseases of the urinary tract and male genitalia,16076
280,EOC Ente ospedaliero cantonale,Lugano,Ticino,I,"Diseases of the bones, joints, connective tissues",24069
281,EOC Ente ospedaliero cantonale,Lugano,Ticino,J,Complex conditions,20002
282,EOC Ente ospedaliero cantonale,Lugano,Ticino,K,Skin disorders,727
283,EOC Ente ospedaliero cantonale,Lugano,Ticino,L,Highly specialized medicine,285
284,EOC Ente ospedaliero cantonale,Lugano,Ticino,M,Palliative Medicine,1753
285,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,A,Cardiac diseases,10720
286,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",5453
287,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,C,Geriatric Medicine,1136
288,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,D,Lung diseases,10121
289,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,E,Diseases of the abdominal organs,6076
290,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,F,Vascular Diseases,131
291,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,G,Gynecology and obstetrics,22387
292,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,H,Diseases of the urinary tract and male genitalia,3048
293,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,I,"Diseases of the bones, joints, connective tissues",10020
294,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,J,Complex conditions,3405
295,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,K,Skin disorders,67
296,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,L,Highly specialized medicine,3
297,Etablissements Hospitaliers du Nord Vaudois (eHnv),Yverdon-les-Bains,Vaud,M,Palliative Medicine,434
298,Eulachklinik AG,Winterthur,Zürich,E,Diseases of the abdominal organs,1
299,Eulachklinik AG,Winterthur,Zürich,G,Gynecology and obstetrics,9
300,Flury Stiftung Spital Schiers,Schiers,Graubünden,A,Cardiac diseases,1106
301,Flury Stiftung Spital Schiers,Schiers,Graubünden,B,"Diseases of the nervous system, cerebrovascular accident (stroke)",401
302,Flury Stiftung Spital Schiers,Schiers,Graubünden,C,Geriatric Medicine,74
303,Flury Stiftung Spital Schiers,Schiers,Graubünden,D,Lung diseases,1458
